relation_id	relation_name	relation_pos	words	sentences_before	sentences_after
RELATION_GENEHPOTERM_journal.pone.0043398.pdf_274_274_120,124_396,396	ribosomal_protein_S6_pseudogene_1/HP:0001909|Leukemia	{120,121,122,123,124,396}	{Ruppin,A-2,),viral,oncogene,homolog,(,avian,),SRC,3,—,phosphoinositide,dependent,protein,kinase,—,1,PDPK1,RPTOR,independent,companion,of,MTOR,",",complex,2,RICTOR,eukaryotic,translation,initiation,factor,4E,binding,protein,1,E,|,F4EBP1,eukaryotic,translation,initiation,factor,4E,family,member,2,E,|,F4E2,hypothetical,LOC100271831,;,mitogen,—,activated,protein,kinase,3,MAPK3,mitogen,—,activated,protein,kinase,1,MAPK1,protein,kinase,",",AMP,»,activated,",",alpha,1,catalytic,subunit,PRKAA1,regulatory,associated,protein,of,MTOR,",",complex,1,RPTOR,ribosomal,protein,S6,kinase,",",90,kDa,",",polypeptide,1,RPS6KA1,ribosomal,protein,S6,kinase,",",90,kDa,",",polypeptide,3,RPS6KA3,ribosomal,protein,S6,pseudogene,25,;,ribosomal,protein,S6,;,ribosomal,protein,S6,pseudogene,1,RPS6,serine/threonine,kinase,11,STK11,similar,to,eukaryotic,translation,initiation,factor,4H,;,eukaryotic,translation,initiation,factor,4B,E,|,F4B,tuberous,sclerosis,1,TSC1,tuberous,sclerosis,2,TSC2,v,—,akt,murine,thymoma,viral,oncogene,homolog,1,AKT1,v,—,akt,murine,thymoma,viral,oncogene,homolog,2,AKT2,v,—,akt,murine,thymoma,viral,oncogene,homolog,3,(,protein,kinase,B,",",gamma,),AKT3,v,—,raf,murine,sarcoma,viral,oncogene,homolog,B1,BRAF,SHC,(,Src,homology,2,domain,containing,),transforming,protein,1,SHC1,SHC,(,Src,homology,2,domain,containing,),transforming,protein,3,SHC3,calcium/ca,|,modu,|,in,—,dependent,protein,kinase,II,delta,CAMK2D,calcium/ca,|,modu,|,in,~,dependent,protein,kinase,II,gamma,CAMK2G,epidermal,growth,factor,receptor,(,erythroblastic,leukemia,viral,(,v,—,erb,—,b,),oncogene,homolog,",",avian,),EGFR,hypothetical,LOC100271831,;,mitogen,—,activated,protein,kinase,3,MAPK3,mitogen,—,activated,protein,kinase,1,MAPK1,mitogen,»,activated,protein,kinase,kinase,2,pseudogene,;,mitogen,»,activated,protein,kinase,kinase,2,MAP2K2,platelet,—,derived,growth,factor,receptor,",",alpha,polypeptide,PDGFRA,protein,kinase,C,",",alpha,PRKCA,protein,kinase,C,",",beta,PRKCB,retinoblastoma,1,RB1,tumor,protein,p53,TP53,v,—,akt,murine,thymoma,viral,oncogene,homolog,1,AKT1,v,—,akt,murine,thymoma,viral,oncogene,homolog,2,AKT2,v,—,akt,murine,thymoma,viral,oncogene,homolog,3,(,protein,kinase,B,",",gamma,),AKT3,v,—,raf,murine,sarcoma,3611,viral,oncogene,homolog,ARAF,v,—,raf,murine,sarcoma,viral,oncogene,homolog,B1,BRAF,v,—,raf,—,1,murine,leukemia,viral,oncogene,homolog,1,RAF1,CHK1,checkpoint,homolog,(,S.,pombe,),CHEK1,E1A,binding,protein,p300,EP300,MAD1,mitotic,arrest,deﬁcient,—,|,ike,1,(,yeast,),MAD1L1,S,—,phase,kinase,—,associated,protein,1,SKP1,S,—,phase,kinase,—,associated,protein,2,(,p45,),SKP2,SMAD,family,member,2,SMAD2,WEE1,homolog,(,S.,pombe,),WEE1,anaphase,promoting,complex,subunit,1,;,similar,to,anaphase,promoting,complex,subunit,1,ANAPC1,anaphase,promoting,complex,subunit,4,ANAPC4,ataxia,telangiectasia,and,Rad3,related,;,similar,to,ataxia,telangiectasia,and,Rad3,related,protein,ATR}	{"Cell Cycle v — src sarcoma ( Schmidt .","— ."}	{"8 August 2012 | Volume 7 | Issue 8 | e43398","Table 2 ."}
RELATION_GENEHPOTERM_SCPDFS_39593.pdf_35_35_11,11_26,27	VHL/HP:0006880|Cerebellar hemangioblastoma	{11,26,27}	{Germline,VHL,gene,mutations,are,responsible,for,the,familial,cancer,syndrome,VHL,disease,",",which,is,characterized,by,predisposition,to,multiple,tumor,types,including,retinal,and,cerebellar,hemangioblastoma,",",renal,cell,carcinoma,(,RCC,),",",and,phaeochromocytoma,(,Maher,et,al.,",",1990,;,Latif,et,al.,",",1993,;,Kaelin,and,Maher,",",1998,),.}	{"— .","Lindau ( VHL ) tumor suppressor gene ( TSG ) was cloned by a positional cloning approach ( Latif et al. , 1993 ) ."}	{"In addition , inactivation of the VHL TSG by somatic loss , mutation , and methylation occurs in the majority of sporadic clear cell RCC ( the most common form of adult kidney cancer ) and hemangioblastomas ( Foster et al. , 1994 ; Gnarra et al. , 1994 ; Herman et al. , 1994 ; Kanno et al. , 1994 ) .","Furthermore , the reintroduction of a wildtype VHL gene into a VHL null clear cell RCC cell line suppresses tumorigenicity in vivo ( Iliopoulos et al. , 1995 ) ."}
RELATION_GENEHPOTERM_SCPDFS_24689.pdf_43_43_14,14_8,9	dystrophin/HP:0003560|Muscular dystrophy	{14,8,9}	{oLDystrobrevin,knockout,mice,develop,a,similar,form,of,muscular,dystrophy,to,that,observed,in,dystrophin,deﬁcient,(,mdx,),mice,",",suggesting,that,functional,interactions,may,occur,between,dystrophin,and,dystrobrevin,(,Grady,et,al.,",",1999,),.}	{"Recent evidence suggests that these two proteins may also interact directly with other members of the DGC ( Crawford et al. , 2000 ) .","Mouse mutants for the muscular forms of dystrobrevin and syntrophin have been generated by knockout ( Grady et al. , 1999 ; Adams et al. , 2000 ; Kameya et al. , 1999 ) ."}	{"In contrast , ot-syntrophin knockout mice display no sign of muscle degeneration , although some morphological defects were observed at the neuromuscular junction ( Adams et al. , 2000 ; Kameya et al. , 1999 ) .","There are no known genetic diseases associated with dystrobrevin and syntrophin , but"}
RELATION_GENEHPOTERM_journal.pone.0038265.pdf_418_418_3,3_23,23	CD19/HP:0002665|Lymphoma	{3,23}	{Thus,",",since,CD19,and,CD43,markers,were,not,assayed,in,the,previous,study,[,14,],",",it,is,possible,that,the,lymphomas,in,this,study,were,",",in,fact,",",pro-B,cells,similar,to,the,BBC1,cells,.}	{"Two of the mice in this study ( # 1 and # 2 ) , however , also showed a predominantly ( B2207 ) myeloid disease ( Figure S1 ) , although there were sub-populations of CD43 + and CD19 ’ cells .","Most of the other 7 mice showed B220 + and B2207 populations that were CD19 \\" and CD43 + ."}	{"The murine stem cell virus-based vector with bi-cistronic expression of GFP has become more frequently used to generate murine bone marrow transduced and transplantation models , as well as human CD34 + xenotransplantation mouse models [ 19,20 ] .","We noticed , however , that not all transformed cells simultaneously expressed chimeric F GFR1 and GFP in this study as well as in either the ZMYM2-FGFR1 model [ 21 ] or a CEPl 10-FGFR1 mouse model ( Ren et al , manuscript under preparation ) ."}
RELATION_GENEHPOTERM_journal.pone.0088827.pdf_41_41_57,57_23,23	KLF4/HP:0002885|Medulloblastoma	{57,23}	{The,KLF4,gene,was,shown,to,be,genetically,and,epigenetically,inactivated,in,human,pancreatic,cancer,and,gastric,cancer,",",as,well,as,in,medulloblastoma,",",and,to,be,mutated,in,colon,cancer,suggested,that,the,aggressive,nature,of,human,cervical,carcinoma,[,12,),18,’,19,’,2O,],',In,our,pervious,Study,),the,KLF4,gene,was,found,is,related,to,a,number,of,molecular,abnormalities,",",including,inactivation,of,various,tumor,suppressor,genes,and,activation,of,various,oncogenes,[,4,],.}	{"Moreover , forced overexpression of KLF4 inhibits cell proliferation and growth of colon , bladder , and esophageal cancers [ 13,14,15 ] .","However , KLF4 expression was shown to be increased in breast cancer and head and neck squamous cell carcinomas [ 16,17 ] ."}	{"The development of novel targeted therapies for cervical cancer has been hindered by the lack of sufficient genetic and epigenetic data concerning its pathogenesis and the paucity of targets [ 5,6,7,8 ] .","The KLF4 gene , a critical transcription regulator of cell growth and differentiation , has been reported to be dysregulated in several Cervical cancer is a major contributor to cancer-related death in females worldwide and accounts for 250,000 deaths each year [ 1 ] ."}
RELATION_GENEHPOTERM_journal.pone.0083322.pdf_477_477_27,28_33,34	lamin_A/C/HP:0001644|Dilated cardiomyopathy	{27,28,33,34}	{Fatkin,D,",",MacRae,C,",",Sasaki,T,",",Wolff,MR,",",Porcu,M,et,al.,(,1999,),Missense,mutations,in,the,rod,domain,of,the,lamin,A/C,gene,as,causes,of,dilated,cardiomyopathy,and,conduction-system,disease,.}	{"doi :10.1038 / 6799 .","PubMed : 10080180 ."}	{"N Engl J Med 341 : 1715-1724 .","doi :10.1056 / NEJM199912023412302 ."}
RELATION_GENEHPOTERM_SCPDFS_45738.pdf_354_354_6,6_12,13	IMPDH1/HP:0000510|Retinitis pigmentosa	{6,12,13}	{In,particular,",",most,of,the,IMPDH1,mutations,identiﬁed,in,autosomal,dominant,retinitis,pigmentosa,prevent,single,—,chain,nucleic,acid,binding,[,71,],",",thus,affecting,the,RBP,properties,of,the,protein,.}	{"— .","monophosphate dehydrogenase 1 ) and HSD17B 10 ( hydroxysteroid 17B — dehydrogenase 10 ) , the severity of the disease caused by mutations does not correlate with impairment of the catalytic activity [ 69,70 ] , suggesting that other protein functions , such as RNA binding , might be affected in these pathological contexts ."}	{"Therefore , the existing mRNA interactome datasets already support the REM hypothesis in that they demonstrate the existence of an RNA — enzyme axis in vivo [ 13,14 ] .","Further mRNA interactome analyses in different cellular contexts and under different metabolic conditions might expose additional enzymes with RBP properties and uncover the role of metabolites in regulating interactions in REM networks ."}
RELATION_GENEHPOTERM_journal.pone.0020839.pdf_206_206_78,81_70,70	immediate_early_response_2/HP:0002669|Osteosarcoma	{78,79,80,81,70}	{The,gene,symbols,refer,to,the,following,gene,names,:,Egr1,(,also,known,as,Tis8,),=,ear,|,y,growth,response,1,;,Egr2,=,ear,|,y,growth,response,2,;,Egr4,=,ear,|,y,growth,response,4,;,Btg2,(,also,known,as,Pc3,),=,B,—,ce,|,l,translocation,gene,2,",",anti,—,pro,|,iferative,;,Fos,=,FBJ,murine,osteosarcoma,viral,oncogene,homolog,;,|,er2,=,immediate,early,response,2,;,Nr4a1,(,also,known,as,Tis1,),=,nuc,|,ear,receptor,subfamily,4,",",group,A,",",member,1,;,Jun,=,Jun,oncogene,;,Atf3,=,activating,transcription,factor,3,;,Junb,=,Jun,.}	{"Figure 3 .","Relative expression data of typical early NGF-responsive genes , 1 hour after NGF , proNGF-WT , proNGF-KR treatments ."}	{"— .","B oncogene ; Arc = activity — regu | ated cytoske | eton — associated protein ; Fos | 1 = fos — like antigen 1 ; K | f4 = Kruppe | ."}
RELATION_GENEHPOTERM_journal.pbio.0060037.pdf_87_87_46,47_79,80	insulin_receptor/HP:0000855|Insulin resistance	{46,47,79,80}	{Gsk,—,3,[,3,Deficiency,(,Gsk,—,3,[,3,+,/,‘,),Promotes,Insulin,Sensitivity,and,Reduces,the,Hyperinsulinemia,of,Insulin,ReceptorDeficient,Mice,(,Ir,+,/,’,),To,determine,whether,Gsk-3B,is,a,downstream,contributor,to,the,insulin,resistance,of,insulin,receptor,—,deﬁcient,mice,",",Gsk-BB1,“,/,T,mice,were,crossed,with,mice,missing,one,allele,of,the,insulin,receptor,(,Ir,+,/,T,),",",previously,shown,to,have,insulin,resistance,and,elevation,of,insulin,levels,in,adult,animals}	{"The results of these studies now deﬁne a new , negatively regulated substrate of the insulin signaling pathway speciﬁcally within B-cells that when elevated , can impair replication and increase apoptosis , resulting in loss of [ 3-cells and diabetes .",Results}	{"[ 37 ] .","Fasting and fed glucose and insulin levels were assessed in Gsk-3B + / T , Ir + / T , and compound heterozygous ( Gsk-3 [ 3 + #Ir + # ) mice and compared to levels in wild type ( WT ) at 26 wk of age ( Figure 1A ) ."}
RELATION_GENEHPOTERM_journal.pone.0072692.pdf_327_327_17,17_4,4	BRAF/HP:0002861|Melanoma	{17,4}	{The,phosphorylation,patterns,in,melanoma,did,however,not,correlate,to,any,clinical,or,molecular,parameters,",",like,BRAF,-,and,JVRAS,mutational,status,",",or,response,to,DTIC,therapy,.}	{"As kinases are part of key cellular process , and mutations herein are often implicated in both cancer progression and / or drug resistance [ 21 ] , we examined the overall kinase activity proﬁles in metastatic malignant melanoma tumor samples , using a multiplex microarray technology previously proven to be robust and reliable [ 22 — 25 ] .","We show that phosphorylation levels of kinase substrates were generally increased in lysates from metastatic melanoma compared to normal skin tissue , indicating high kinase activity ."}	{"The increased kinase activity observed in our melanoma samples is in agreement with previous studies which shows that kinases are hyperactive in many cancers , acting as a driving force towards tumor proliferation and other growth processes [ 7 ] .","We further analyzed the ex — vz ' z2o inhibitory effects of the BRAF inhibitor , vemurafenib , and the multi-targeted tyrosine kinase inhibitor , sunitinib , in the same set of melanoma samples ."}
RELATION_GENEHPOTERM_SCPDFS_43695.pdf_465_465_207,207_114,114	GNAI3/HP:0100242|Sarcoma	{207,114}	{Barr,virus,insertion,site,1,;,ELA1,",",elastase,1,(,pancreatic,),;,EN01,",",ENO2,",",enolases,1,(,a,),and,2,(,1,«,",",neuronal,),;,ERBB3,",",erythroblastic,leukemia,oncogene,3,;,ESA4,",",esterase,A4,;,F2,",",coagulation,factor,II,(,prothrombin,),;,FCERIA,",",FCERIG,",",Fc,fragment,of,IgE,",",high-afﬁnity,I,",",receptor,for,;,or,and,7,polypeptides,;,FCER2,",",Fc,fragment,of,IgE,",",low-affinity,II,",",receptor,for,;,FCGR2,",",FCGR3,",",Fc,fragment,of,IgG,",",low-aﬂinity,Ila,",",Ilb,",",111-1,and,III-2,",",receptors,for,;,FCTBA,",",as-3-fucosyltransferase,;,FES,",",feline,sarcoma,oncogene,;,FGF6,",",fibroblast,growth,factor,6,;,FGR,",",feline,sarcoma,oncogene,;,FRV1,",",FRV3,",",full-length,retroviral,sequences,1,and,3,;,FSHB,",",follicle,—,stimulating,hormone,",",",6",polypeptide,;,FUT1,",",FUT2,",",fucosyltransferases,1,and,2,;,GANAB,",",or-glucosidase,",",neutral,AB,;,GANG,",",cu-glucosidase,",",neutral,C,;,GDH,",",glucose,dehydrogenase,;,GL1,",",glioma-associated,oncogene,;,GLUT,",",glucose,transporters,1,",",3,",",and,5,;,GNAI2L,",",guanine,nucleotide,binding,protein,",",or-inhibiting,activity,polypeptide,2-like,;,GNAI3,",",guanine,nucleotide-binding,protein,;,cr-inhibiting,activity,polypeptide,3,;,GNAT2,",",guanine,nucleotidebinding,protein,",",a-transducing,activity,polypeptide,2,;,GNB1,",",guanine,nucleotide-binding,protein,",",",6",polypeptide,1,;,GNB3,",",guanine,nucleotide,—,hinding,protein,",",.3,polypeptide,3,;,GOT2L1,.}	{"Barr virus modiﬁcation site 1 ; EBVS1 , Epstein .","— ."}	{"— .","GOT2L3 , glutamate-oxaloacetate transaminase 2-like 1-3 ; G-PI , glucose phosphate isomerase ; GST1 , GST3 , glutathione S — transferases 1 ( pi ) and 3 ( 1r ) ; GS ’ I ‘ 3L , glutathione S-transferase 3-like ; GST12 , glutathione S-transferase 12 , microsomal ; H1F2 , H1 histone , family 2 ; HIF4 , H1 histone , family 4 ; HKR1 ."}
RELATION_GENEHPOTERM_journal.pone.0037892.pdf_36_36_12,12_172,172	MLL/HP:0001909|Leukemia	{12,172}	{frequently,associated,with,B_preeursor,ALL,in,humans,),but,For,example,",",MLL,—,rearranged,AMLS,",",more,than,60,%,of,which,generates,AML,in,naiee,/,Thus,there,is,a,gap,in,our,lllVolVe,the,MLl,"\\"",AF9,=,MLl,"\\"",AFlO,>,or,Ml,‘,L'AFe,lllslell,gelle,=,understanding,about,mouse,versus,human,leukemogenesis,",",and,often,exhibit,the,morphological,subtypes,acute,myelomonoblastic,further,leukemia,modeling,studies,using,human,priniaiy,leukemia,leukemia,and,monoblastic,leukemia,",",which,are,classiﬁed,as,Cells,are,neeeleel,@,/,Flellell,',Amelleall,',BllllSll,(,FAB,),M4,and,M5,=,lespeellvely,[,31,In,vivo,studies,in,which,primary,human,leukemia,cells,were,Although,patients,with,MLL,—,rearranged,leukemia,usually,shéw,3,transplanted,into,immunodeﬁcient,mice,",",provided,signiﬁcant,peel,plogllosls,and,are,Semellmes,leslslalll,to,therapy,[,3,=,4,],r,the,advances,in,our,understanding,of,the,pathogenesis,of,human,development,Of,efficient,therapies,targeting,the,MLL-fusion,genes,leukemia,However,),these,models,),in,/,the,leukemia,has,been,slow,",",in,part,because,much,is,still,unknown,about,the,eells,had,already,developed,in,human,patients,before,being,Cellular,and,moleeulal,meellalllsms,ullelellylllg,lllls,ellsease,transplanted,into,mice,",",are,not,suitable,for,studying,physiological,To,gain,insight,into,the,etiology,and,pathogenesis,Of,MLL,‘,leukemogenesis,",",including,the,initiation,and,progression,processes,rearranged,leukemia,",",several,mouse,models,have,been,developed,.}	{"| nt | - oduction rearrange typically affects infants .","Leukemia has also been generated in mice by exogenously expressing an MLL-fusion gene _ t t t t in the animals or by transplanting mouse hematopoietic stem cells leukemla ) ' ﬁlSlOll oncogenes M e aseoelaleel \\" _ Vllll aellle myelolel ( HSCS ) that have been retrovirally transduced with an MLL-fusion leukemia ( AML ) , acute lymphoblastic leukemia ( ALL ) , myelodys - gene [ 5l _ However ) the phenotype and pathogenesis of the plastic syndrome , and secondary therapy-related acute lei/lkemla leukemia produced in these murine models sometimes do not [ l ] ' Mel e than 60 partner genes that form Ml ‘ L'lllSl ° ll Olleegelles match those observed in human leukemia associated with the same have been identiﬁed [ 2 ] , and the partner usually characterizes the genetic lesion For example the MLL_ENL fusion gene is speciﬁc pathological phenotype of the MLL — rearranged leukemia ."}	{"sinee these processes do not oeeur in the inoelel Therefore ) a new Mlee Wllll a klloekeel ' lll MLL ' AF9 lllslell gene develop AML as experimental model for analyzing leukemogenesis in which they age [ 5 ] , although in humans the congenital MLL-AF9 Chromosomal translocations that result in MLL ( mixed-lineage","и / PLoS ONE | www ."}
RELATION_GENEHPOTERM_journal.pone.0039767.pdf_176_176_35,35_56,57	menin/HP:0002897|Parathyroid adenoma	{35,56,57}	{Inverse,Correlation,of,Menin,Protein,and,miR,—,24,—,1,Expression,in,MEN1,Parathyroid,Adenomatous,Tissues,that,Conserved,the,Wi,|,d,—,type,Allele,If,miR-24-l,was,a,negative,tissue-speciﬁc,regulator,of,the,menin,oncosuppressor,protein,",",then,miR-24-1,should,be,over-expressed,in,MEN,1,parathyroid,adenomatous,tissues,versus,sporadic,nonMEN,1,forms,of,parathyroid,adenomas,as,well,as,in,healthy,parathyroid,tissue,.}	{"` W7 PLoS ONE | www .","p | osone.org 3 June 2012 | Volume 7 | Issue 6 | e39767"}	{"Through the analysis of the different tissues for LOH at both the MEN ] and miR — 24 — 1 loci , four MEN1 parathyroid tumors showed LOH for the A / [ EN ] allele ( PA96 , PA83 , P49 , and PA22 ) , while four parathyroid tumors ( PH2 , PA86 , PA62 , and PA30 ) did not show ME / \\\\ / ] ~ LOH , thus preserving the MEN ] wild-type allele ( Table 1 ) .","Both mutational and LOH analyses of MEN ] allele in normal parathyroid and sporadic adenoma tissues showed homozygous wild-type MEN ] allele ."}
RELATION_GENEHPOTERM_journal.pone.0038890.pdf_403_403_23,25_27,27	toll-like_receptor_4/HP:0003006|Neuroblastoma	{23,24,25,27}	{Hassan,F,",",Islam,S,",",Tumurkhuu,G,",",Naiki,Y,",",Koide,N,",",et,al.,(,2006,),lntracellular,expression,of,toll-like,receptor,4,in,neuroblastoma,cells,and,their,unresponsive,»,ness,to,lipopolysaccharide,.}	{"Nluccioli 1V1 , Sprague L , Nandigam H , Pate 1 \\\\ ’ 1 , Benencia F ( 2012 ) Toll-like receptors as novel therapeutic targets for ovarian cancer .","ISRN Oncol 2012 : 642141 ."}	{"BNIC cancer 6 : 281 — 288 .","llvesaro J1 \\\\ ’ 1 , 1V1errell 1VIA , Swain T1 \\\\ ’ 1 , Davidson J , Zayzafoon N1 , et al. ( 2007 ) Toll like receptor-9 agonists stimulate prostate cancer invasion in vitro ."}
RELATION_GENEHPOTERM_journal.pgen.0030234.pdf_8_8_0,0_5,5	SCA1/HP:0001251|Ataxia	{0,5}	{SCA1,and,SCA2,are,two,ataxias,caused,by,expansion,of,polyglutamine,tracts,in,Ataxin-1,(,ATXN1,),and,Ataxin-2,(,ATXN2,),",",respectively,",",two,proteins,that,are,otherwise,unrelated,.}	{"1 Department of Molecular and Human Genetics , Baylor College of Medicine , Houston , Texas , United States of America , 2 Departamento de Biologia , Facultad de CienciasUniversity Autonoma de Madrid , Madrid , Spain , 3 Division of Neurology , Cedars-Sinai Medical Center ; Departments of Medicine and Neurobiology , David Geffen School of Medicine , University of California at Los Angeles , Los Angeles , California , United States of America , 4 Department of Neuroscience , Baylor College of Medicine , Houston , Texas , United States of America , 5 Howard Hughes Medical Institute , Baylor College of Medicine , Houston , Texas , United States of America .","Spinocerebellar ataxias ( SCAs ) are a genetically heterogeneous group of neurodegenerative disorders sharing atrophy of the cerebellum as a common feature ."}	{"Here , we use a Drosophila model of SCA1 to unveil molecular mechanisms linking Ataxin-1 with Ataxin-2 during SCA1 pathogenesis .","We show that wild-type Drosophila Ataxin-2 ( dAtx2 ) is a major genetic modifier of human expanded Ataxin-1 ( Ataxin1 [ 82Q ] ) toxicity ."}
RELATION_GENEHPOTERM_journal.pone.0025806.pdf_250_250_6,6_2,2	BRAF/HP:0002861|Melanoma	{6,2}	{Characteristics,of,Melanoma,Patients,with,V600K,BRAF,mutation,We,further,investigated,the,behavior,of,mutBRAF,melanoma,with,V600K,substitution,compared,to,other,subtypes,of,BRAF,mutation,.}	{"By excluding patients who did not get enrolled into a phase 1 trial after referral ( 18 patients total ) , we found that wtBRAF patients treated with RAF / MEK targeting agents has a trend towards improved survival after referral compared to wtBRAF patients treated with any other agents ( 51 months vs. 10 months , 95 % CI 4.7 — 15.9 ; p = 0.052 and HR 0.39 , 95 ° / oCI 0.14 — 1.04 ; p = 0.06 ) Multivariate analysis in wtBRAF patients .","In the multivariate analysis , none of these factors was signiﬁcantly associated with a better OS from referral ( Figure 5 ) ."}	{"( There were 13 patients with V600K mutations including 12 with melanoma and one with colorectal cancer ) .","In the melanoma group , we compared patients with V600K BRAF mutations vs. non-V600K BRAF mutations ( the vast majority being V600E ) ."}
RELATION_GENEHPOTERM_SCPDFS_18688.pdf_76_76_28,28_13,13	SOX10/HP:0100753|Schizophrenia	{28,13}	{It,should,be,kept,in,mind,that,in,most,of,monozygotic,form,of,schizophrenia,",",such,as,those,caused,by,mutations,in,neuroglins,",",SHANK3,",",FOXP2,",",SOX10,and,many,others,(,Iwamoto,et,al.,",",2005,),",",there,is,no,recognizable,phenotype,that,drives,the,testing,towards,one,gene,or,another,.}	{"The clinical genetic evaluation can recognize phenotypes related to known genetic conditions such as the 22q11 microdeletion , which is associated with schizophrenia and velocardiofacial syndrome 42 , as well as anxiety , depression , attenh ' on — deﬁcit hyperactivity disorder , obsessive — compulsive disorder and autism spectrum disorders ( Gothelf et al. , 2004 ) .","The most commonly associated deletions are identiﬁable with standard molecular cytogenetic studies , now available in clinical laboratories , using a ﬂuorescence in — situ hybridization ( FISH ) technique and 22q11 .2 probes D22S75 or TUPLE1 ( Anne et al. , 2002 ) ."}	{"3 .","Genetic factors"}
RELATION_GENEHPOTERM_journal.pone.0040366.pdf_42_42_37,37_45,46	CDH23/HP:0000510|Retinitis pigmentosa	{37,45,46}	{Also,",",to,ﬁnd,Suggested,hY,geh,°,rYl3eTPheh0rYpe,eerrelalloh,ShldY,>,Usher,lD,=,the,novel,pathologic,mutations,and,to,clarify,the,frequency,and,Whleh,has,eehgehlral,prorollhel,hearlhg,lrhpalrrhehh,Vesllhlllar,clinical,characteristics,of,patients,with,CDH23,mutations,",",a,large,dysfunction,",",and,retinitis,pigmentosa,",",is,usually,associated,with,Cohort,of,probands,from,unrelated,families,(,n,:,1396,),was,hehsehse,rhurall0h5,>,Whereas,DFNBl2,=,Whleh,has,3,rhlleler,screened,using,TaqMan,ampliﬁcation-based,mutation,analysis,of,phenotype,",",is,associated,with,missense,mutations,[,1,»,"2,5",‘,8,],-,the,variants,observed,in,the,initial,304,patients,.}	{"of CDH23 .","More than 50 mutations have been reported for the Usher In the present Study ) We performed Sanger Sequencing using phenotype ( USHID ) and 24 mutations reported for th6 T1011 ‘ 304 patients whose pedigrees are compatible with recessive 5Yndr0miC hearing 1055 Ph ‘ 3n0tYPP ( DFNBQ ) [ 1:2:5 ’ 7l - A5 inheritance to ﬁnd additional pathologic mutations ."}	{"Mutations in the CDH23 ( NM_22l24 ) gene are known to be responsible for both Usher syndrome type ID ( USHID ) and nonsyndromic hearing loss ( DFNBIQ ) [ 1,2 ] .","Molecular conﬁrmation of CDH23 mutations has become important in the diagnosis of"}
RELATION_GENEHPOTERM_journal.pone.0005654.pdf_867_867_19,19_23,23	DAZ/HP:0000027|Azoospermia	{19,23}	{(,2003,),Human,Pumilio,~,2,is,expressed,in,embryonic,stem,cells,and,germ,cells,and,interacts,with,DAZ,(,Deleted,in,Azoospermia,),and,DAZ-like,proteins,.}	{"Genomics 83 : 834 — 843 .","Nloore FL , Jaruzelska J , Fox 1 \\\\ IS , Urano J , Firpo 1 \\\\ ’ IT , et a1 ."}	{"Proc Natl Acad Sci USA 100 : 538 — 543 .","Reynolds N , Collier B , 1VIaratou K , Bingham V , Speed R1 \\\\ I , et a1 ."}
