HP:0000002	Abnormality of body height	height|abnorm|bodi
HP:0003610	Fibroblast metachromasia	metachromasia|fibroblast
HP:0003612	Positive ferric chloride test	ferric|posit|chlorid|test
HP:0003613	Antiphospholipid antibody positivity	antibodi|posit|antiphospholipid
HP:0003614	Trimethylaminuria	trimethylaminuria
HP:0003616	Premature separation of centromeric heterochromatin	centromer|prematur|separ|heterochromatin
HP:0003634	Generalized amyoplasia	general|amyoplasia
HP:0003635	Loss of subcutaneous adipose tissue in limbs	subcutan|loss|adipos|tissu|limb
HP:0003637	Reduced 4-Hydroxyphenylpyruvate dioxygenase activity	4-hydroxyphenylpyruv|activ|reduc|dioxygenas
HP:0003639	Elevated urinary epinephrine	elev|urinari|epinephrin
HP:0003640	Foam cells in visceral organs and CNS	organ|cell|cns|foam|viscer
HP:0003641	Hemoglobinuria	hemoglobinuria
HP:0003642	Type I transferrin isoform profile	profil|type|transferrin|isoform|i
HP:0003643	Sulfite oxidase deficiency	defici|sulfit|oxidas
HP:0003645	Prolonged partial thromboplastin time	prolong|partial|thromboplastin|time
HP:0003646	Bicarbonaturia	bicarbonaturia
HP:0003647	Electron transfer flavoprotein-ubiquinone oxidoreductase defect	flavoprotein-ubiquinon|oxidoreductas|electron|transfer|defect
HP:0003648	Lacticaciduria	lacticaciduria
HP:0003649	Abnormality of glycoside metabolism	metabol|abnorm|glycosid
HP:0003651	Foam cells	cell|foam
HP:0003652	Recurrent myoglobinuria	recurr|myoglobinuria
HP:0003653	Cellular metachromasia	cellular|metachromasia
HP:0003654	Reduced dihydropyrimidine dehydrogenase activity	activ|reduc|dihydropyrimidin|dehydrogenas
HP:0003655	Reduced activity of N-acetylglucosaminyltransferase II	ii|activ|reduc|n-acetylglucosaminyltransferas
HP:0003656	Decreased beta-glucocerebrosidase protein and activity	decreas|beta-glucocerebrosidas|protein|activ
HP:0003657	Granular osmiophilic deposits (GROD) in cells	cell|granular|deposit|grod|osmiophil
HP:0003658	Hypomethioninemia	hypomethioninemia
HP:0003665	Amyotrophy of the musculature of the pelvis	musculatur|amyotrophi|pelvi
HP:0003683	Large beaked nose	beak|nose|larg
HP:0003687	Centrally nucleated skeletal muscle fibers	nucleat|skelet|fiber|muscl|central
HP:0003688	Decreased activity of cytochrome C oxidase in muscle tissue	muscl|oxidas|c|decreas|cytochrom|activ|tissu
HP:0003689	Multiple mitochondrial DNA deletions	mitochondri|dna|multipl|delet
HP:0003690	Limb muscle weakness	weak|muscl|limb
HP:0003691	Scapular winging	scapular|wing
HP:0003693	Distal amyotrophy	distal|amyotrophi
HP:0003694	Late-onset proximal muscle weakness	weak|proxim|muscl|late-onset
HP:0003696	Absent epiphysis of the distal phalanx of the 5th finger	epiphysi|distal|absent|5th|phalanx|finger
HP:0003697	Scapuloperoneal amyotrophy	scapuloperon|amyotrophi
HP:0003698	Difficulty standing	difficulti|stand
HP:0003700	Generalized amyotrophy	general|amyotrophi
HP:0003701	Proximal muscle weakness	weak|proxim|muscl
HP:0003704	Scapuloperoneal weakness	weak|scapuloperon
HP:0003707	Calf muscle pseudohypertrophy	calf|muscl|pseudohypertrophi
HP:0003710	Exercise-induced muscle cramps	muscl|exercise-induc|cramp
HP:0003712	Muscle hypertrophy	hypertrophi|muscl
HP:0003713	Muscle fiber necrosis	fiber|muscl|necrosi
HP:0003715	Myofibrillar myopathy	myopathi|myofibrillar
HP:0003716	Generalized muscular appearance from birth	appear|birth|general|muscular
HP:0003717	Minimal subcutaneous fat	subcutan|fat|minim
HP:0003719	Muscle mounding	muscl|mound
HP:0003720	Generalized muscle hypertrophy	hypertrophi|muscl|general
HP:0003722	Neck flexor weakness	neck|flexor|weak
HP:0003724	Shoulder girdle muscle atrophy	shoulder|girdl|muscl|atrophi
HP:0003725	Firm muscles	firm|muscl
HP:0003729	Enteroviral dermatomyositis syndrome	syndrom|dermatomyos|enterovir
HP:0003730	EMG: myotonic runs	emg|myoton|run
HP:0003731	Quadriceps muscle weakness	weak|quadricep|muscl
HP:0003733	Thigh hypertrophy	hypertrophi|thigh
HP:0003736	Autophagic vacuoles	vacuol|autophag
HP:0003737	Mitochondrial myopathy	mitochondri|myopathi
HP:0003738	Exercise-induced myalgia	exercise-induc|myalgia
HP:0003739	Myoclonic spasms	myoclon|spasm
HP:0003740	Myotonia with warm-up phenomenon	myotonia|warm-up|phenomenon
HP:0003741	Congenital muscular dystrophy	congenit|dystrophi|muscular
HP:0003749	Pelvic girdle muscle weakness	weak|pelvic|muscl|girdl
HP:0003750	Increased muscle fatiguability	increas|muscl|fatigu
HP:0003752	Episodic flaccid weakness	episod|weak|flaccid
HP:0003755	Type 1 fibers relatively smaller than type 2 fibers	type|fiber|smaller|2|1
HP:0003756	Skeletal myopathy	skelet|myopathi
HP:0003758	Reduced subcutaneous adipose tissue	subcutan|reduc|adipos|tissu
HP:0003759	Hypoplasia of lymphatic vessels	hypoplasia|vessel|lymphat
HP:0003760	Percussion-induced rapid rolling muscle contractions (PIRC)	percussion-induc|muscl|pirc|rapid|roll|contract
HP:0003761	Calcinosis	calcinosis
HP:0003762	Uterus didelphys	didelphi|uterus
HP:0003763	Bruxism	bruxism
HP:0003764	Nevus	nevus
HP:0003765	Psoriasis	psoriasis
HP:0003768	Periodic paralysis	period|paralysi
HP:0003771	Pulp stones	stone|pulp
HP:0003774	Stage 5 chronic kidney disease	chronic|5|kidney|stage|diseas
HP:0003777	Pili torti	pili|torti
HP:0003778	Short mandibular rami	short|mandibular|rami
HP:0003779	Antegonial notching of mandible	mandibl|notch|antegoni
HP:0003781	Excessive salivation	excess|saliv
HP:0003782	Eunuchoid habitus	eunuchoid|habitus
HP:0003783	Externally rotated/abducted legs	leg|extern|rotat|abduct
HP:0003784	Type 1 collagen overmodification	type|overmodif|collagen|1
HP:0003785	Decreased CSF homovanillic acid (HVA)	decreas|acid|csf|homovanil|hva
HP:0003787	Type 1 and type 2 muscle fiber minicore regions	type|minicor|muscl|1|region|2|fiber
HP:0003789	Minicore (multicore) myopathy	minicor|multicor|myopathi
HP:0003791	Deposits immunoreactive to beta-amyloid protein	protein|deposit|beta-amyloid|immunoreact
HP:0003795	Short middle phalanx of toe	short|middl|toe|phalanx
HP:0003796	Irregular iliac crest	crest|irregular|iliac
HP:0003797	Limb-girdle muscle atrophy	limb-girdl|muscl|atrophi
HP:0003798	Nemaline bodies	nemalin|bodi
HP:0003799	Marked delay in bone age	mark|age|delay|bone
HP:0003800	Muscle abnormality related to mitochondrial dysfunction	relat|mitochondri|dysfunct|muscl|abnorm
HP:0003803	Type 1 muscle fiber predominance	predomin|type|fiber|muscl|1
HP:0003805	Rimmed vacuoles	rim|vacuol
HP:0003808	Abnormal muscle tone	tone|abnorm|muscl
HP:0003809	Nearly complete absence of metabolically active adipose tissue (subcutaneous, intraabdominal, intrathoracic)	intrathorac|subcutan|absenc|intraabdomin|metabol|activ|tissu|adipos|complet
HP:0003810	Late-onset distal muscle weakness	distal|weak|muscl|late-onset
HP:0003832	Abnormality of the tibial plateaux	tibial|abnorm|plateaux
HP:0003833	Laterally deficient tibial plateaux	tibial|later|plateaux|defici
HP:0003834	Shoulder dislocation	disloc|shoulder
HP:0003835	Shoulder subluxation	sublux|shoulder
HP:0003836	Stippled calcification of the shoulder	shoulder|calcif|stippl
HP:0003837	Soft-tissue ossification around the shoulders	soft-tissu|shoulder|ossif
HP:0003839	Abnormality involving the epiphyses of the upper limbs	epiphys|upper|abnorm|involv|limb
HP:0003840	Delayed upper limb epiphyseal ossification	epiphys|delay|upper|limb|ossif
HP:0003841	Fragmented epiphyses of the upper limbs	fragment|epiphys|upper|limb
HP:0003842	Irregular epiphyses of the upper limbs	epiphys|upper|irregular|limb
HP:0003843	Round epiphyses of the upper limbs	epiphys|upper|round|limb
HP:0003844	Small epiphyses of the upper limbs	epiphys|upper|small|limb
HP:0003846	Wide epiphyseal plates of the upper limbs	wide|epiphys|plate|upper|limb
HP:0003848	Cupped metaphyses of the upper limbs	cup|upper|metaphys|limb
HP:0003849	Flared metaphyses of the upper limbs	upper|metaphys|limb|flare
HP:0003850	Irregular metaphyses of the upper limbs	upper|irregular|metaphys|limb
HP:0003851	Lytic defects in metaphyses of the upper limbs	limb|upper|defect|metaphys|lytic
HP:0003852	Normal density transverse bands in metaphyses of the upper limbs	normal|upper|limb|transvers|densiti|band|metaphys
HP:0003853	Sclerosis with transverse striations in metaphyses of the upper limbs	upper|limb|striation|transvers|sclerosi|metaphys
HP:0003854	Sclerosis of metaphyses of the upper limbs	upper|sclerosi|metaphys|limb
HP:0003855	Spurred metaphyses of the upper limbs	spur|upper|metaphys|limb
HP:0003856	Upper limb metaphyseal widening	upper|metaphys|limb|widen
HP:0003858	Cortical diaphyseal irregularity of the upper limbs	diaphys|upper|irregular|limb|cortic
HP:0003859	Cortical diaphyseal thickening of the upper limbs	diaphys|upper|thicken|limb|cortic
HP:0003860	Diaphyseal sclerosis of the upper limbs	diaphys|upper|sclerosi|limb
HP:0003861	Broad diaphyses of the upper limbs	broad|diaphys|upper|limb
HP:0003862	Absent humerus	absent|humerus
HP:0003863	Angulated humerus	angul|humerus
HP:0003864	Bifid humerus	bifid|humerus
HP:0003865	Bowed humerus	bow|humerus
HP:0003866	Coarse trabeculae (humeral)	trabecula|coars|humer
HP:0003867	Cortical irregularity (humeral)	humer|irregular|cortic
HP:0003868	Cortical thickening (humeral)	humer|thicken|cortic
HP:0003869	Cortical thinning (humeral)	thin|humer|cortic
HP:0003870	Crumpled humerus	crumpl|humerus
HP:0003871	Deformed humerus	deform|humerus
HP:0003872	Exostoses (humeral)	exostos|humer
HP:0003874	Humerus varus	varus|humerus
HP:0003875	Lytic defects (humeral)	humer|defect|lytic
HP:0003876	Osteoporotic humerus	osteoporot|humerus
HP:0003877	Oval transradiancy (humeral)	transradi|humer|oval
HP:0003878	Periosteal new bone (humeral)	periost|humer|bone
HP:0003879	Pseudarthrosis (humeral)	humer|pseudarthrosi
HP:0003880	Sclerotic foci of the humerus	sclerot|foci|humerus
HP:0003881	Humeral sclerosis	humer|sclerosi
HP:0003882	Slender humerus	slender|humerus
HP:0003883	Tapered humerus	taper|humerus
HP:0003884	Triangular humerus	triangular|humerus
HP:0003885	Undermodeled humerus	undermodel|humerus
HP:0003886	Wide humerus	wide|humerus
HP:0003887	Abnormality of the humeral heads	humer|abnorm|head
HP:0003888	Flattened humeral heads	flatten|humer|head
HP:0003889	Abnormality of the deltoid tuberosities	abnorm|tuberos|deltoid
HP:0003890	Prominent deltoid tuberosities	promin|tuberos|deltoid
HP:0003891	Abnormality of the humeral epiphysis	epiphysi|humer|abnorm
HP:0003892	Absent humeral epiphyseal ossification	epiphys|humer|absent|ossif
HP:0003893	Advanced ossification of the humeral epiphysis	epiphysi|humer|advanc|ossif
HP:0003894	Delayed humeral epiphyseal ossification	epiphys|delay|humer|ossif
HP:0003895	Flattened humeral epiphyses	flatten|humer|epiphys
HP:0003896	Irregular humeral epiphyses	epiphys|humer|irregular
HP:0003897	Irregular ossification of the humeral epiphyses	epiphys|humer|irregular|ossif
HP:0003898	Large humeral epiphyses	epiphys|humer|larg
HP:0003899	Round humeral epiphyses	epiphys|humer|round
HP:0003900	Small humeral epiphyses	epiphys|humer|small
HP:0003901	Stippled calcification of the humeral epiphyses	epiphys|humer|calcif|stippl
HP:0003902	Epiphyseal stippling of the humerus	humerus|epiphys|stippl
HP:0003903	Broad humeral epiphyses	broad|humer|epiphys
HP:0003904	Wide epiphyses of the upper limbs	wide|epiphys|upper|limb
HP:0003905	Abnormality of the humeral epiphyseal plate	epiphys|humer|abnorm|plate
HP:0003906	Broad humeral epiphyseal plate	broad|humer|epiphys|plate
HP:0003907	Abnormality of the humeral metaphyses	humer|abnorm|metaphys
HP:0003908	Corner spurs (humeral metaphyses)	spur|corner|humer|metaphys
HP:0003909	Cortical subperiosteal resorption (humeral metaphyses)	humer|subperiost|metaphys|resorpt|cortic
HP:0003910	Enlarged humeral metaphyses	enlarg|humer|metaphys
HP:0003911	Flared humeral metaphysis	humer|metaphysi|flare
HP:0003912	Frayed humeral metaphyses	humer|fray|metaphys
HP:0003913	Irregular humeral metaphyses	humer|irregular|metaphys
HP:0003914	Irregular ossification of humeral metaphyses	humer|irregular|metaphys|ossif
HP:0003915	Lytic defects of the humeral metaphsis	humer|metaphsi|defect|lytic
HP:0003916	Normal-density transverse bands (humerus)	humerus|band|normal-dens|transvers
HP:0003917	Pointed humeral metaphysis	humer|metaphysi|point
HP:0003918	Sclerotic humeral metaphysis	sclerot|humer|metaphysi
HP:0003919	Sclerotic humeral metaphysis with longitudinal striations	striation|sclerot|humer|metaphysi|longitudin
HP:0003920	Sloping humeral metaphysis	slope|humer|metaphysi
HP:0003921	Laterally sloping humeral metaphysis	later|slope|humer|metaphysi
HP:0003922	Spurred humeral metaphysis	spur|humer|metaphysi
HP:0003923	Square humeral metaphysis	squar|humer|metaphysi
HP:0003924	Stippled calcification of humeral metaphysis	humer|calcif|metaphysi|stippl
HP:0003926	Abnormality of the humeral diaphysis	diaphysi|humer|abnorm
HP:0003927	Cortical irregularity of humeral diaphysis	diaphysi|humer|irregular|cortic
HP:0003928	Cortical thickening of humeral diaphysis	diaphysi|humer|thicken|cortic
HP:0003929	Ground glass opacity of humeral diaphysis	opac|diaphysi|humer|ground|glass
HP:0003930	Lytic defects of humeral diaphysis	diaphysi|humer|defect|lytic
HP:0003931	Periosteal new bone (humeral diaphysis)	diaphysi|periost|humer|bone
HP:0003932	Sclerotic foci of humeral diaphysis	diaphysi|sclerot|humer|foci
HP:0003933	Sclerosis of humeral diaphysis	diaphysi|humer|sclerosi
HP:0003934	Slender humeral diaphysis	diaphysi|slender|humer
HP:0003935	Wide humeral diaphysis	wide|diaphysi|humer
HP:0003938	Synostosis involving the elbow	synostosi|involv|elbow
HP:0003939	Humeroulnar synostosis	humeroulnar|synostosi
HP:0003940	Osteoarthritis of the elbow	osteoarthr|elbow
HP:0003941	Stippled calcification of the elbow	calcif|elbow|stippl
HP:0003942	Synovial chondromatosis of the elbow	synovi|chondromatosi|elbow
HP:0003943	Abnormality of the joint spaces of the elbow	abnorm|space|joint|elbow
HP:0003944	Narrow joint spaces of the elbow	narrow|space|joint|elbow
HP:0003945	Irregular articular surfaces of the elbow joints	articular|surfac|irregular|elbow|joint
HP:0003946	Abnormality of the epiphyses of the elbow	epiphys|abnorm|elbow
HP:0003947	Delayed elbow epiphyseal ossification	epiphys|delay|elbow|ossif
HP:0003948	Irregular epiphyses of the elbow	epiphys|irregular|elbow
HP:0003949	Abnormality of the elbow metaphyses	abnorm|metaphys|elbow
HP:0003950	Flared metaphyses (elbow)	metaphys|elbow|flare
HP:0003951	Irregular metaphyses (elbow)	irregular|metaphys|elbow
HP:0003952	Sclerotic foci of metaphyses of the elbow	sclerot|foci|metaphys|elbow
HP:0003953	Absent forearm bone	forearm|absent|bone
HP:0003954	Angulated forearm bones	angul|forearm|bone
HP:0003955	Bone-in-a-bone appearance (forearm)	appear|forearm|bone-in-a-bon
HP:0003956	Bowed forearm bones	forearm|bone|bow
HP:0003957	Cortical thickening of the forearm bones	forearm|bone|thicken|cortic
HP:0003958	Cross-fusion of the forearm bones	cross-fus|forearm|bone
HP:0003959	Deformed forearm bones	deform|forearm|bone
HP:0003960	Exostoses of the forearm bones	exostos|forearm|bone
HP:0003961	Fractured forearm bones	forearm|bone|fractur
HP:0003963	Lytic defects of the forearm bones	forearm|bone|defect|lytic
HP:0003964	Osteoporotic forearm bones	forearm|osteoporot|bone
HP:0003965	Pseudarthrosis of the forearm bones	forearm|bone|pseudarthrosi
HP:0003966	Sclerotic foci in forearm bones	forearm|sclerot|bone|foci
HP:0003967	Sclerotic forearm bones	forearm|sclerot|bone
HP:0003969	Slender forearm bones	forearm|slender|bone
HP:0003970	Undermodelled forearm bones	forearm|bone|undermodel
HP:0003971	Broad forearm bones	broad|forearm|bone
HP:0003973	Wide radioulnar joints	wide|radioulnar|joint
HP:0003974	Absent radius	absent|radius
HP:0003975	Chevron-shaped/cone-shaped radius	chevron-shap|cone-shap|radius
HP:0003976	Constricted radius	constrict|radius
HP:0003977	Deformed radius	deform|radius
HP:0003978	Fractured radius	fractur|radius
HP:0003979	Lytic defects of the radius	radius|defect|lytic
HP:0003980	Pseudarthrosis of the radius	radius|pseudarthrosi
HP:0003981	Broad radius	broad|radius
HP:0003982	Absent ulna	absent|ulna
HP:0003984	Posteriorly dislocated ulna	disloc|posterior|ulna
HP:0003985	Exostoses of the ulna	exostos|ulna
HP:0003986	Exostoses of the radius	exostos|radius
HP:0003987	Fractured ulna	fractur|ulna
HP:0003988	Long ulna	long|ulna
HP:0003989	Notched ulna	notch|ulna
HP:0003990	Pointed ulna	ulna|point
HP:0003991	Osteosclerosis of the ulna	osteosclerosi|ulna
HP:0003992	Slender ulna	slender|ulna
HP:0003993	Broad ulna	broad|ulna
HP:0003994	Dislocated wrist	disloc|wrist
HP:0003995	Abnormality of the radial head	radial|abnorm|head
HP:0003996	Flattened radial head	flatten|radial|head
HP:0003997	Hypoplastic radial head	radial|hypoplast|head
HP:0003998	Constricted radial neck	neck|constrict|radial
HP:0003999	Abnormality of radial epiphyses	epiphys|radial|abnorm
HP:0004000	Chevron-shaped/cone-shaped radial epiphyses	epiphys|radial|chevron-shap|cone-shap
HP:0004001	Medially deficient radial epiphyses	defici|epiphys|radial|medial
HP:0004002	Flattened radial epiphyses	flatten|radial|epiphys
HP:0004003	Medially flattened radial epiphyses	flatten|radial|epiphys|medial
HP:0004004	Irregular radial epiphyses	epiphys|radial|irregular
HP:0004005	Large radial epiphyses	epiphys|radial|larg
HP:0004006	Round radial epiphyses	epiphys|radial|round
HP:0004007	Sclerotic radial epiphyses	epiphys|sclerot|radial
HP:0004008	Sloping radial epiphyses	epiphys|slope|radial
HP:0004009	Medially sloping radial epiphyses	epiphys|slope|radial|medial
HP:0004010	Small radial epiphyses	epiphys|radial|small
HP:0004012	Premature fusion of the radial epiphyseal plates	prematur|epiphys|fusion|radial|plate
HP:0004013	Medially fused radial epiphyseal plates	fuse|epiphys|radial|plate|medial
HP:0004014	Broad radial epiphyseal plate	broad|radial|epiphys|plate
HP:0004015	Abnormality of radial metaphyses	radial|abnorm|metaphys
HP:0004016	Cupped radial metaphyses	cup|radial|metaphys
HP:0004017	Exostoses of the radial metaphysis	exostos|radial|metaphysi
HP:0004018	Flared radial metaphyses	radial|metaphys|flare
HP:0004019	Irregular radial metaphysis	radial|irregular|metaphysi
HP:0004020	Irregular ossification of the radial metaphysis	radial|irregular|metaphysi|ossif
HP:0004021	Lytic defects of radial metaphysis	radial|defect|metaphysi|lytic
HP:0004022	Sclerotic radial metaphysis with longitudinal striations	striation|sclerot|radial|metaphysi|longitudin
HP:0004023	Sloping radial metaphysis	slope|radial|metaphysi
HP:0004024	Medially sloping radial metaphysis	slope|radial|metaphysi|medial
HP:0004025	Spurred radial metaphysis	spur|radial|metaphysi
HP:0004026	Broad radial metaphysis	broad|radial|metaphysi
HP:0004027	Abnormality of radial diaphysis	diaphysi|radial|abnorm
HP:0004028	Spurs of radial diaphysis	spur|diaphysi|radial
HP:0004029	Lytic defects of radial diaphysis	diaphysi|radial|defect|lytic
HP:0004030	Patchy sclerosis of radial diaphysis	diaphysi|patchi|radial|sclerosi
HP:0004031	Broad radial diaphysis	diaphysi|broad|radial
HP:0004032	Abnormality of the olecranon	olecranon|abnorm
HP:0004033	Curved olecranon	curv|olecranon
HP:0004034	Irregular olecranon	olecranon|irregular
HP:0004035	Abnormality of the styloid process	process|styloid|abnorm
HP:0004036	Long styloid process	process|styloid|long
HP:0004037	Abnormality of the ulnar epiphyses	ulnar|epiphys|abnorm
HP:0004038	Bony spikule of ulnar epiphyseal plate	ulnar|epiphys|plate|boni|spikul
HP:0004039	Abnormality of ulnar metaphysis	ulnar|abnorm|metaphysi
HP:0004040	Corner fragments of ulnar metaphysis	fragment|corner|ulnar|metaphysi
HP:0004041	Cupped ulnar metaphysis	cup|ulnar|metaphysi
HP:0004042	Irregular ulnar metaphysis	ulnar|irregular|metaphysi
HP:0004043	Lytic defects of ulnar metaphysis	ulnar|defect|metaphysi|lytic
HP:0004044	Pointed ulnar metaphysis	ulnar|metaphysi|point
HP:0004045	Sloping ulnar metaphysis	ulnar|slope|metaphysi
HP:0004046	Spurred ulnar metaphysis	spur|ulnar|metaphysi
HP:0004047	Wide ulnar metaphysis	wide|ulnar|metaphysi
HP:0004048	Narrow joint spaces of wrist	narrow|space|joint|wrist
HP:0004049	Decreased carpal angles of wrist	decreas|carpal|angl|wrist
HP:0004050	Absent hand	hand|absent
HP:0004051	Advanced ossification of the hand bones	hand|advanc|bone|ossif
HP:0004052	Delayed ossification of the hand bones	hand|delay|bone|ossif
HP:0004053	Dysharmonic maturation of the hand bones	hand|matur|bone|dysharmon
HP:0004054	Sclerosis of hand bone	hand|bone|sclerosi
HP:0004057	Mitten deformity	mitten|deform
HP:0004058	Monodactyly (hands)	hand|monodactyli
HP:0004059	Radial club hand	hand|radial|club
HP:0004060	Trident hand	hand|trident
HP:0004095	Curved fingers	curv|finger
HP:0004097	Deviation of finger	finger|deviat
HP:0004099	Macrodactyly	macrodactyly
HP:0004100	Abnormality of the 2nd finger	finger|abnorm
HP:0004112	Midline nasal groove	groov|midlin|nasal
HP:0004122	Midline defect of the nose	midlin|defect|nose
HP:0004132	Dimple on nasal tip	tip|dimpl|nasal
HP:0004150	Abnormality of the 3rd finger	finger|abnorm
HP:0004172	Abnormality of the middle phalanx of the 3rd finger	middl|finger|abnorm|phalanx
HP:0004180	Short distal phalanx of the 3rd finger	short|distal|finger|phalanx
HP:0004188	Abnormality of the 4th finger	finger|abnorm|4th
HP:0004195	Osteolytic defects of the phalanges of the 4th finger	phalang|osteolyt|finger|defect|4th
HP:0004197	Symphalangism of the 4th finger	symphalang|finger|4th
HP:0004207	Abnormality of the 5th finger	5th|finger|abnorm
HP:0004209	Clinodactyly of the 5th finger	5th|clinodactyli|finger
HP:0004213	Abnormality of the phalanges of the 5th finger	phalang|5th|finger|abnorm
HP:0004214	Curved phalanges of the 5th finger	phalang|curv|5th|finger
HP:0004216	Osteolytic defects of the phalanges of the 5th finger	phalang|osteolyt|5th|finger|defect
HP:0004218	Symphalangism of the 5th finger	symphalang|5th|finger
HP:0004219	Abnormality of the middle phalanx of the 5th finger	5th|middl|finger|abnorm|phalanx
HP:0004220	Short middle phalanx of the 5th finger	5th|short|middl|finger|phalanx
HP:0004222	Cone-shaped epiphysis of the distal phalanx of the 5th finger	epiphysi|distal|5th|cone-shap|phalanx|finger
HP:0004223	Ivory epiphysis of the distal phalanx of the 5th finger	epiphysi|distal|5th|phalanx|ivori|finger
HP:0004224	Abnormality of the epiphysis of the middle phalanx of the 5th finger	epiphysi|5th|middl|phalanx|finger|abnorm
HP:0004225	Abnormality of the distal phalanx of the 5th finger	5th|distal|finger|abnorm|phalanx
HP:0004226	Curved distal phalanx of the 5th finger	5th|curv|distal|finger|phalanx
HP:0004227	Short distal phalanx of the 5th finger	5th|short|distal|finger|phalanx
HP:0004230	Subluxation of the proximal interphalangeal joint of the little finger	sublux|interphalang|proxim|finger|joint
HP:0004231	Carpal bone aplasia	carpal|aplasia|bone
HP:0004232	Accessory carpal bones	carpal|bone|accessori
HP:0004233	Advanced ossification of carpal bones	carpal|advanc|bone|ossif
HP:0004234	Bone-in-a-bone appearance of carpal bones	carpal|appear|bone-in-a-bon|bone
HP:0004235	Comma-shaped carpal bones	comma-shap|carpal|bone
HP:0004236	Irregular carpal bones	carpal|irregular|bone
HP:0004237	Large carpal bones	carpal|bone|larg
HP:0004238	Lytic defects of carpal bones	carpal|bone|defect|lytic
HP:0004239	Proximally placed carpal bones	carpal|proxim|bone
HP:0004240	Sclerotic foci within carpal bones	carpal|sclerot|bone|foci
HP:0004241	Stippled calcification in carpal bones	carpal|bone|calcif|stippl
HP:0004242	Broad carpal bones	carpal|broad|bone
HP:0004243	Abnormality of the scaphoid	scaphoid|abnorm
HP:0004244	Accessory scaphoid	scaphoid|accessori
HP:0004245	Comma-shaped scaphoid	comma-shap|scaphoid
HP:0004246	Delayed ossification of the scaphoid	scaphoid|delay|ossif
HP:0004247	Small scaphoid	scaphoid|small
HP:0004248	Abnormality of the lunate bone	lunat|abnorm|bone
HP:0004249	Accessory lunate	lunat|accessori
HP:0004250	Proximally placed lunate	lunat|proxim
HP:0004251	Lunate-triquetral fusion	lunate-triquetr|fusion
HP:0004252	Abnormality of the trapezium	abnorm|trapezium
HP:0004253	Absent trapezium/absent ossification of the trapezium	absent|trapezium|ossif
HP:0004254	Delayed ossification of the trapezium	delay|trapezium|ossif
HP:0004255	Small trapezium	small|trapezium
HP:0004256	Abnormality of the trapezoid bone	abnorm|bone|trapezoid
HP:0004257	Delayed ossification of the trapezoid bone	delay|bone|trapezoid|ossif
HP:0004258	Small trapezoid bone	small|bone|trapezoid
HP:0004259	Abnormality of the hamate bone	hamat|abnorm|bone
HP:0004260	Large hamate bone	hamat|bone|larg
HP:0004261	Wide hamate bone	hamat|wide|bone
HP:0004262	Abnormality of the capitate bone	capit|abnorm|bone
HP:0004263	Large capitate bone	capit|bone|larg
HP:0004264	Narrow carpal joint spaces	carpal|narrow|space|joint
HP:0004267	Narrow small joints of the hand	hand|narrow|small|joint
HP:0004268	Osteoarthritis of the small joints of the hand	osteoarthr|hand|small|joint
HP:0004269	Subluxation of the small joints of the hand	sublux|hand|small|joint
HP:0004271	Cortical thickening of hand bones	hand|bone|thicken|cortic
HP:0004272	Cortical thinning of hand bones	thin|hand|bone|cortic
HP:0004273	Cupped metaphyses of hand bones	cup|hand|bone|metaphys
HP:0004274	Deficient ossification of hand bones	ossif|hand|bone|defici
HP:0004275	Duplication of hand bones	hand|duplic|bone
HP:0004276	Exostoses of hand bones	exostos|hand|bone
HP:0004277	Fractured hand bones	hand|bone|fractur
HP:0004278	Synostosis involving bones of the hand	hand|synostosi|involv|bone
HP:0004279	Short palm	palm|short
HP:0004280	Irregular ossification of hand bones	hand|irregular|bone|ossif
HP:0004281	Irregular sclerosis of hand bones	hand|irregular|sclerosi|bone
HP:0004283	Narrow palm	palm|narrow
HP:0004284	Notched hand bones	hand|notch|bone
HP:0004285	Overmodelled hand bones	overmodel|hand|bone
HP:0004286	Patchy sclerosis of hand bones	hand|patchi|bone|sclerosi
HP:0004287	Pointed hand bones	hand|bone|point
HP:0004288	Pseudoepiphyses of hand bones	hand|pseudoepiphys|bone
HP:0004289	Sclerotic foci in hand bones	hand|sclerot|bone|foci
HP:0004290	Sclerosis of hand bones with transverse striations	striation|hand|bone|sclerosi|transvers
HP:0004291	Stippled calcification of hand bones	hand|bone|calcif|stippl
HP:0004292	Undermodelled hand bones	hand|bone|undermodel
HP:0004293	Synostosis of second metacarpal-trapezoid	synostosi|metacarpal-trapezoid
HP:0004294	Subluxation of metacarpal phalangeal joints	phalang|sublux|metacarp|joint
HP:0004295	Abnormality of the gastric mucosa	gastric|abnorm|mucosa
HP:0004296	Abnormality of gastrointestinal vasculature	abnorm|vasculatur|gastrointestin
HP:0004297	Abnormality of the biliary system	system|abnorm|biliari
HP:0004298	Abnormality of the abdominal wall	abdomin|wall|abnorm
HP:0004299	Hernia of the abdominal wall	abdomin|wall|hernia
HP:0004302	Functional motor problems.	problems.|motor|function
HP:0004303	Abnormality of muscle fibers	fiber|abnorm|muscl
HP:0004305	Involuntary movements	involuntari|movement
HP:0004306	Abnormality of the endocardium	endocardium|abnorm
HP:0004307	Abnormal anatomic location of the heart	locat|abnorm|anatom|heart
HP:0004308	Ventricular arrhythmia	ventricular|arrhythmia
HP:0004309	Ventricular preexcitation	preexcit|ventricular
HP:0004311	Abnormality of macrophages	abnorm|macrophag
