MIR770	MIRN770|hsa-mir-770	microRNA 770
ESPL1	ESP1|SEPA|KIAA0165	separin|separase|extra spindle pole bodies homolog 1 (S. cerevisiae)
MIR6728	hsa-mir-6728	microRNA 6728
CYP4F23P		cytochrome P450, family 4, subfamily F, polypeptide 23, pseudogene
MAPKAPK3	3PK|3pK|MAPKAP3	mitogen-activated protein kinase-activated protein kinase 3
TNPO1P1		transportin 1 pseudogene 1
HLA-DOB		major histocompatibility complex, class II, DO beta
ARL2BPP2	ARL2BPL|bcm1040	ADP-ribosylation factor-like 2 binding protein pseudogene 2
BOLA1	CGI-143	bolA homolog 1 (E. coli)|bolA family member 1
SLC9A3R2	SIP-1|TKA-1|NHERF-2|E3KARP	solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 2
UGT3A2		UDP glycosyltransferase 3 family, polypeptide A2
LAT	LAT1	linker for activation of T cells, transmembrane adaptor|linker for activation of T cells
CASQ2	PDIB2	calsequestrin 2 (cardiac muscle)
ASB2	ASB-2	ankyrin repeat and SOCS box containing 2
TRIM6-TRIM34		TRIM6-TRIM34 readthrough
ARMC8P1		armadillo repeat containing 8 pseudogene 1
RN7SL587P		RNA, 7SL, cytoplasmic 587, pseudogene
ELL2P2		elongation factor, RNA polymerase II, 2 pseudogene 2
RNU6-977P		RNA, U6 small nuclear 977, pseudogene
DTHD1	FLJ16686	death domain containing 1
RFTN1P1		raftlin, lipid raft linker 1 pseudogene 1
RNA5SP288	RN5S288	RNA, 5S ribosomal pseudogene 288
MAN1A2P1		
XPA	XPAC|XP1	xeroderma pigmentosum, complementation group A
RBP7	CRBPIV	retinol binding protein 7, cellular
KLRB1	CLEC5B|hNKR-P1A|CD161|NKR-P1A|NKR-P1|NKR	killer cell lectin-like receptor subfamily B, member 1
UNC13D	Munc13-4	unc-13 homolog D (C. elegans)
RNU6-260P		RNA, U6 small nuclear 260, pseudogene
AP4B1	BETA-4|SPG47	beta 4 subunit of AP-4|adaptor-related protein complex 4, beta 1 subunit
RN7SL389P		RNA, 7SL, cytoplasmic 389, pseudogene
USP17L5		ubiquitin specific peptidase 17-like family member 5
GPS2P1		G protein pathway suppressor 2 pseudogene 1
FGD5	ZFYVE23|FLJ00274|FLJ39957	FYVE, RhoGEF and PH domain containing 5
RPTN	FLJ39117	repetin
HOXB@	HOX2@	homeobox B cluster
RN7SL243P		RNA, 7SL, cytoplasmic 243, pseudogene
RNA5SP274	RN5S274	RNA, 5S ribosomal pseudogene 274
LINC01353		
PIRC95		piwi-interacting RNA cluster 95
LUCAT1	SCAL1	lung cancer associated transcript 1 (non-protein coding)
PIRC14		piwi-interacting RNA cluster 14
OR1S1	OST034	olfactory receptor, family 1, subfamily S, member 1
SNURF		SNRPN upstream reading frame
WWP1P1		WW domain containing E3 ubiquitin protein ligase 1 pseudogene 1
DRD5	DRD1B|DRD1L2	dopamine receptor D5
SNHG21	SCARNA15HG|RP11-752G15.6|FSD2-AS1	small nucleolar RNA host gene 21 (non-protein coding)
RNU7-9P	U7.9	RNA, U7 small nuclear 9 pseudogene
PREP		prolyl endopeptidase
TIMP2	CSC-21K	TIMP metallopeptidase inhibitor 2
LIM2	MP17|MP19	lens intrinsic membrane protein 2, 19kDa
DDX11L10	DDX11P|DDX11L1	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 pseudogene|DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 10
CDNF	ARMETL1	cerebral dopamine neurotrophic factor|conserved dopamine neurotrophic factor
MYP16		myopia 16
IGKV1-5		immunoglobulin kappa variable 1-5
TRMT44	TRM44|C4orf23|FLJ35725|METTL19	tRNA methyltransferase 44 homolog (S. cerevisiae)
RN7SL304P		RNA, 7SL, cytoplasmic 304, pseudogene
LRRC3-AS1		LRRC3 antisense RNA 1 (head to head)
CIR1P3		corepressor interacting with RBPJ, 1 pseudogene 3
CDY7P		chromodomain protein, Y-linked 7 pseudogene
TRL-CAA4-1	TRNAL19	transfer RNA leucine 19 (anticodon CAA)
ATOH8	HATH6|bHLHa21|FLJ14708	basic helix loop helix transcription factor 6|atonal homolog 8 (Drosophila)
TREML3P	TREML3|TLT3	TREM like transcript 3|triggering receptor expressed on myeloid cells-like 3, pseudogene
NANOGP7	NANOGP3	Nanog homeobox pseudogene 7
CTU1	MGC17332|ATPBD3|NCS6	cytosolic thiouridylase subunit 1 homolog (S. pombe)|cytosolic thiouridylase subunit 1
FSIP2-AS1		
SUMO2P3		SUMO2 pseudogene 3
HMGB3P15		high mobility group box 3 pseudogene 15
PAN3		PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae)|PAN3 poly(A) specific ribonuclease subunit
EIF2S2P3		eukaryotic translation initiation factor 2, subunit 2 beta pseudogene 3
RBM22P1		RNA binding motif protein 22 pseudogene 1
TRIM77	TRIM77P	tripartite motif containing 77
MBD3L3		methyl-CpG binding domain protein 3-like 3
TNS1	DKFZp586K0617|MXRA6|PPP1R155|TNS	tensin 1
PSG1	CD66f|PBG1|PSBG1|PSGGA	pregnancy specific beta-1-glycoprotein 1
RNU6-414P		RNA, U6 small nuclear 414, pseudogene
ERI3-IT1		ERI3 intronic transcript 1 (non-protein coding)
MRPL49P1		mitochondrial ribosomal protein L49 pseudogene 1
TAF9P3	TAF2GL	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa pseudogene 3
SNHG1	UHG|NCRNA00057|LINC00057	long intergenic non-protein coding RNA 57|small nucleolar RNA host gene 1 (non-protein coding)|non-protein coding RNA 57|U22 snoRNA host gene
REPS1		RALBP1 associated Eps domain containing 1
RPS17P17		ribosomal protein S17 pseudogene 17
SRP54-AS1		
UBE2E2-AS1		UBE2E2 antisense RNA 1 (head to head)
GACAT2	MTCL1-AS1|HMlincRNA717	
RN7SL139P		RNA, 7SL, cytoplasmic 139, pseudogene
LILRA6	CD85b|LILRB6|ILT8	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6
PRKCD		protein kinase C, delta
RNA5SP159	RN5S159	RNA, 5S ribosomal pseudogene 159
PPIAP28		peptidylprolyl isomerase A (cyclophilin A) pseudogene 28
COPS5P2		COP9 signalosome subunit 5 pseudogene 2
MIR34A	MIRN34A|hsa-mir-34a	microRNA 34a
LINC00433		long intergenic non-protein coding RNA 433
PEX13		peroxisomal biogenesis factor 13
RN7SL190P		RNA, 7SL, cytoplasmic 190, pseudogene
RNASE13		ribonuclease, RNase A family, 13 (non-active)
HMGB3P25		high mobility group box 3 pseudogene 25
RNU7-144P		RNA, U7 small nuclear 144 pseudogene
BCL6	BCL6A|ZNF51|LAZ3|BCL5|ZBTB27	B-cell CLL/lymphoma 6
RNU6-287P		RNA, U6 small nuclear 287, pseudogene
ERVK3-1	HERV-K(HML6-1)	endogenous retrovirus group K3, member 1
SLC25A18		solute carrier family 25 (glutamate carrier), member 18
CDC25C	PPP1R60|CDC25	cell division cycle 25C|protein phosphatase 1, regulatory subunit 60
RPL26P14		ribosomal protein L26 pseudogene 14
CTHRC1P1		
INPP5F	KIAA0966|SAC2|hSac2	inositol polyphosphate-5-phosphatase F
FRA7D		fragile site, aphidicolin type, common, fra(7)(p13)
LINC01471		
KRT18P67		keratin 18 pseudogene 67
CHRNA1	CHRNA	cholinergic receptor, nicotinic, alpha 1 (muscle)|acetylcholine receptor, nicotinic, alpha 1 (muscle)
SKIV2L	SKIV2|SKI2W|HLP|DDX13|170A	superkiller viralicidic activity 2-like (S. cerevisiae)
IGHGP	IGHGP1	immunoglobulin heavy constant gamma P (non-functional)
RN7SL505P		RNA, 7SL, cytoplasmic 505, pseudogene
PMF1-BGLAP		PMF1-BGLAP readthrough
LRRC34P2		leucine rich repeat containing 34 pseudogene 2
VCY1B	BPY1B	variable charge, Y-linked 1B
MIR29B1	MIRN29B1|hsa-mir-29b-1	microRNA 29b-1
CHRM3-AS1		CHRM3 antisense RNA 1
NXF2B	bA353J17.1	nuclear RNA export factor 2B
MIR4282	hsa-mir-4282	microRNA 4282
RN7SKP47		RNA, 7SK small nuclear pseudogene 47
MIR4315-1	hsa-mir-4315-1	microRNA 4315-1
DNM1P31	DNM1DN4@|DNM1DN4-2	DNM1 pseudogene 31
IGKV1D-37	IGKV1D37|O4	immunoglobulin kappa variable 1D-37 (non-functional)
ZNF225		zinc finger protein 225
ACOT7	MGC1126|LACH1|hBACH|CTE-II|ACH1|ACT|BACH	brain acyl CoA hydrolase|acyl-CoA thioesterase 7
SMTNL1	CHASM	smoothelin-like 1|calponin homology-associated smooth muscle protein
RN7SKP260		RNA, 7SK small nuclear pseudogene 260
SNORD11	HBII-95	small nucleolar RNA, C/D box 11
TIGD1	EEYORE	tigger transposable element derived 1
ATG2B	C14orf103|FLJ10242	autophagy related 2B
NRBP1	NRBP|MADM|BCON3|MUDPNP	nuclear receptor binding protein 1
NDP	EVR2|norrin	Norrie disease (pseudoglioma)
SLC51B	OSTbeta	solute carrier family 51, beta subunit|organic solute transporter beta subunit
PARS2	DKFZp727A071	prolyl-tRNA synthetase 2, mitochondrial (putative)|proline tRNA ligase 2, mitochondrial (putative)
LYSMD3	FLJ13542	LysM, putative peptidoglycan-binding, domain containing 3
RNU7-34P	U7.34	RNA, U7 small nuclear 34 pseudogene
COX6B1P2	COX6BP2	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) pseudogene 2
ZNF876P		zinc finger protein 876, pseudogene
JADE2	JADE-2|PHF15|KIAA0239	PHD finger protein 15|jade family PHD finger 2
STXBP4	Synip|MGC50337	syntaxin binding protein 4
RNA5SP65	RN5S65	RNA, 5S ribosomal pseudogene 65
CLIP1	RSN|CLIP170|CLIP-170|CYLN1|CLIP	CAP-GLY domain containing linker protein 1|restin
SNORD3D	U3-4	small nucleolar RNA, C/D box 3D
SCN1A	SCN1|HBSCI|FEB3|Nav1.1|SMEI|NAC1|GEFSP2	sodium channel, voltage-gated, type I, alpha subunit
LETM2	FLJ25409	leucine zipper-EF-hand containing transmembrane protein 2
MFSD11	FLJ22196|FLJ20226	major facilitator superfamily domain containing 11
SLC7A15P		solute carrier family 7, member 15, pseudogene
NRBF2P1		nuclear receptor binding factor 2 pseudogene 1
LINC00642		long intergenic non-protein coding RNA 642
MCDR3		macular dystrophy, retinal 3
MIR6133	hsa-mir-6133	microRNA 6133
SNORA69	RNU69|U69	small nucleolar RNA, H/ACA box 69
ANKRD45	CT117|FLJ45235	ankyrin repeat domain 45|cancer/testis antigen 117
MIR6776	hsa-mir-6776	microRNA 6776
HPN-AS1		HPN antisense RNA 1
DFNB26		deafness, autosomal recessive 26
EEF1E1-BLOC1S5		EEF1E1-BLOC1S5 readthrough (NMD candidate)
RPS20P11		ribosomal protein S20 pseudogene 11
DLG1	SAP97|SAP-97|DLGH1|hdlg|dJ1061C18.1.1	synapse-associated protein 97|discs, large homolog 1 (Drosophila)|discs large homolog 1|presynaptic protein SAP97
FCF1P11		FCF1 pseudogene 11
TPTE	PTEN2|CT44	transmembrane phosphatase with tensin homology|PTEN-related tyrosine phosphatase|cancer/testis antigen 44
MIR4324	hsa-mir-4324	microRNA 4324
LINC00500		long intergenic non-protein coding RNA 500
MZB1	MGC29506|pERp1|HSPC190|MEDA-7|PACAP	mesenteric oestrogen-dependent adipose gene- 7|marginal zone B and B1 cell-specific protein|plasma cell-induced ER protein 1|proapoptotic caspase adaptor protein
RN7SL559P		RNA, 7SL, cytoplasmic 559, pseudogene
ICR4		ichthyosis congenita IV, ichthyosis-prematurity syndrome
WBP2NL	MGC26816|FLJ26145|PAWP	WBP2 N-terminal like|postacrosomal sheath WW domain-binding protein
PAUPAR		PAX6 upstream antisense RNA
SLCO4A1-AS1		
FLNC	ABP-280|FLN2|ABPL	actin binding protein 280|filamin C, gamma
UBXN2A	UBXD4	UBX domain protein 2A
NDST2	NST2|HSST2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2
HUS1B		HUS1 checkpoint homolog b (S. pombe)
FGD1	ZFYVE3|FGDY	FYVE, RhoGEF and PH domain containing 1
FAM25C	bA164N7.4	family with sequence similarity 25, member C
FAM90A4P	FAM90A4	family with sequence similarity 90, member A4, pseudogene
PKMP5		pyruvate kinase, muscle pseudogene 5
TRBV24-1	TCRBV24S1|TRBV241|TCRBV15S1	T cell receptor beta variable 24-1
DRG1	NEDD3	developmentally regulated GTP binding protein 1
ADAM21P1	ADAM21P	ADAM metallopeptidase domain 21 pseudogene 1
TNNT3	FSSV|DA2B|DKFZp779M2348|AMCD2B	troponin-T3, skeletal, fast|troponin T type 3 (skeletal, fast)
LINC00162	NCRNA00162|PRED74|NLC1-C|C21orf113	long intergenic non-protein coding RNA 162|narcolepsy candidate region 1 gene C
IDO2	INDOL1	indoleamine 2,3-dioxygenase 2
MGRN1	KIAA0544|RNF156	mahogunin ring finger 1, E3 ubiquitin protein ligase
RNY4P27		RNA, Ro-associated Y4 pseudogene 27
ZNF415		zinc finger protein 415
C4orf19	FLJ11017	chromosome 4 open reading frame 19
MIR7152	hsa-mir-7152	microRNA 7152
HOXB6	HOX2|HOX2B	homeobox B6
IQCA1-AS1		
C22orf39	MGC74441	chromosome 22 open reading frame 39
AP1S1	AP19|CLAPS1|EKV3|WUGSC:H_DJ0747G18.2|SIGMA1A	clathrin coat assembly protein AP19|erythrokeratodermia variabilis 3 (Kamouraska type)|sigma1A-adaptin|AP-1 complex subunit sigma-1A|golgi adaptor HA1/AP1 adaptin sigma-1A subunit|HA1 19 kDa subunit|adaptor-related protein complex 1, sigma 1 subunit|sigma1A subunit of AP-1 clathrin adaptor complex|clathrin assembly protein complex 1 sigma-1A small chain|clathrin-associated/assembly/adaptor protein, small 1 (19kD)
POLDIP2	DKFZP586F1524|PDIP38	polymerase (DNA-directed), delta interacting protein 2
RHEBL1	MGC34869|FLJ25797	Ras homolog enriched in brain like 1
KLHL31	KBTBD1|BKLHD6|bA345L23.2	kelch-like family member 31
IGLV3-15		immunoglobulin lambda variable 3-15 (pseudogene)
PGBD4P7		piggyBac transposable element derived 4 pseudogene 7
DCLRE1A	SNM1|KIAA0086|PSO2|hSNM1	DNA cross-link repair 1A|PSO2 homolog (S. cerevisiae)
HMGN2P43		high mobility group nucleosomal binding domain 2 pseudogene 43
VN2R13P		vomeronasal 2 receptor 13 pseudogene
MCHR2	SLT|GPR145|MCH2|MCH2R	melanin-concentrating hormone receptor 2
STXBP5-AS1		STXBP5 antisense RNA 1
SOD1P3		superoxide dismutase 1, soluble pseudogene 3
MTL3P	MTL3	metallothionein-like 3, pseudogene
TEX28P2	pTEX|CXorf2B	testis expressed 28 pseudogene 2
CBWD7	OTTHUMG00000067194	COBW domain containing 7
DFNA27		deafness, autosomal dominant 27
RNF216-IT1		RNF216 intronic transcript 1 (non-protein coding)
SLC19A3	THTR2	solute carrier family 19 (thiamine transporter), member 3|solute carrier family 19, member 3|thiamine transporter 2
TRG-TCC2-1	TRNAG11	transfer RNA glycine 11 (anticodon UCC)
METTL7AP1		methyltransferase like 7A pseudogene 1
RBBP7	RbAp46	G1/S transition control protein-binding protein RbAp46|retinoblastoma binding protein 7|histone acetyltransferase type B subunit 2|retinoblastoma-binding protein RbAp46|retinoblastoma-binding protein p46|retinoblastoma-binding protein 7
RNU7-200P		RNA, U7 small nuclear 200 pseudogene
UGT2A3P7		UDP glucuronosyltransferase 2 family, polypeptide A3 pseudogene 7
PRKACB	PKACb	protein kinase, cAMP-dependent, catalytic, beta
FADD	MORT1|GIG3	Fas (TNFRSF6)-associated via death domain|growth-inhibiting gene 3 protein|Fas-associating protein with death domain|Fas-associating death domain-containing protein|mediator of receptor-induced toxicity
GCLC	GCS|GLCL|GLCLC	glutamate-cysteine ligase, catalytic subunit
OR5K3		olfactory receptor, family 5, subfamily K, member 3
DUTP8		deoxyuridine triphosphatase pseudogene 8
C15orf53	FLJ35695	chromosome 15 open reading frame 53
DOHH	HLRC1|MGC4293	deoxyhypusine hydroxylase/monooxygenase
PIK3R1OS		phosphoinositide-3-kinase, regulatory subunit 1, opposite strand
ZNF211	ZNF-25|CH2H2-25	zinc finger protein 211
SLIRP	C14orf156|DC50	SRA stem-loop interacting RNA binding protein
UBE2M	hUbc12|UBC12	ubiquitin-conjugating enzyme E2M
FDX1P1	FDXP1|ADXP1	ferredoxin 1 pseudogene 1
THEM4	CTMP	thioesterase superfamily member 4|C-terminal modulator protein
RPLP1P1		ribosomal protein, large, P1 pseudogene 1
RNU6-79P	RNU6-79	RNA, U6 small nuclear 79, pseudogene
MS4A6A	CD20L3|MS4A6	membrane-spanning 4-domains, subfamily A, member 6A
RPS17P9		ribosomal protein S17 pseudogene 9
RPS8P7		ribosomal protein S8 pseudogene 7
MT-ND6	MTND6|NAD6|ND6	mitochondrially encoded NADH dehydrogenase 6|NADH-ubiquinone oxidoreductase chain 6|complex I ND6 subunit
CASC1	LAS1|FLJ10921|PPP1R54	cancer susceptibility candidate 1|protein phosphatase 1, regulatory subunit 54
RN7SL385P		RNA, 7SL, cytoplasmic 385, pseudogene
RNA5SP146	RN5S146	RNA, 5S ribosomal pseudogene 146
TRX-CAT1-4	TRNAM6	transfer RNA methionine 6 (anticodon CAU)
IFITM10		interferon induced transmembrane protein 10
EIF1AXP2		eukaryotic translation initiation factor 1A, X-linked pseudogene 2
MARCH4	MARCH-IV|KIAA1399|RNF174	membrane-associated ring finger (C3HC4) 4, E3 ubiquitin protein ligase
HTR3E		5-hydroxytryptamine (serotonin) receptor 3E, ionotropic
GLT8D2	FLJ31494	glycosyltransferase 8 domain containing 2
COILP1	COILP	coilin pseudogene 1
ALG14	MGC19780	ALG14, UDP-N-acetylglucosaminyltransferase subunit
TMEM104	FLJ20255|FLJ00021	transmembrane protein 104
SP110	IFI75|IFI41	SP110 nuclear body protein
TCEB1P28		transcription elongation factor B (SIII), polypeptide 1 pseudogene 28
GDPGP1	C15orf58	GDP-D-glucose phosphorylase 1
LSM8	YJR022W	LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)
MAGIX	FLJ21687|PDZX|JM10	MAGI family member, X-linked
GLOD5		glyoxalase domain containing 5
PPP2CA	PP2Calpha	protein phosphatase 2, catalytic subunit, alpha isozyme|protein phosphatase 2A catalytic subunit, alpha isoform
C1QTNF1	CTRP1|ZSIG37|FLJ90694|GIP	C1q and tumor necrosis factor related protein 1|G protein coupled receptor interacting protein
RPL35AP30		ribosomal protein L35a pseudogene 30
OR52S1P		olfactory receptor, family 52, subfamily S, member 1 pseudogene
SNORD45B	RNU45B|U45b	small nucleolar RNA, C/D box 45B
SOX30P1		SRY (sex determining region Y)-box 30 pseudogene 1
AIM1	ST4|CRYBG1	beta-gamma crystallin domain containing 1|suppression of tumorigenicity 4|suppression of tumorigenicity 4 (malignant melanoma)|absent in melanoma 1
CATSPER2		cation channel, sperm associated 2
MIR4478	hsa-mir-4478	microRNA 4478
RASSF8	C12orf2|HoJ-1	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8
GTF3BAP3		general transcription factor IIIB, associated protein 3
RPS29P19		ribosomal protein S29 pseudogene 19
MRPS21P6		mitochondrial ribosomal protein S21 pseudogene 6
MIR6859-2	hsa-mir-6859-2	microRNA 6859-2
HSPE1P22		heat shock 10kDa protein 1 pseudogene 22
BTBD10	GMRP-1|MGC13007|GMRP1	BTB (POZ) domain containing 10
ENPP7	NPP7|alk-SMase	ectonucleotide pyrophosphatase/phosphodiesterase 7
RPSAP11	LAMRL1|LAMR1P11|LAMRP1|LAMR	ribosomal protein SA pseudogene 11
RNU6-536P		RNA, U6 small nuclear 536, pseudogene
HTR3A	HTR3|5-HT3A|5-HT3R	5-hydroxytryptamine (serotonin) receptor 3A, ionotropic
CAPN7	PalBH	calpain 7|calpain like protease|homolog of Aspergillus Nidulans PALB
GPR152	PGR5	G protein-coupled receptor 152
DFNB20		deafness, autosomal recessive 20
HSBP1P2		heat shock factor binding protein 1 pseudogene 2
OR7H1P	OR7H1	olfactory receptor, family 7, subfamily H, member 1 pseudogene
NUS1P4		nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae) pseudogene 4
FGF5		fibroblast growth factor 5
SPAG8	BS-84|HSD-1|hSMP-1|SPAG3|CT142|CILD28	sperm associated antigen 8
LRRC52	FLJ25811	leucine rich repeat containing 52
RPS26P51		ribosomal protein S26 pseudogene 51
PPM1H	KIAA1157|ARHCL1|FLJ13253|NERPP-2C	protein phosphatase, Mg2+/Mn2+ dependent, 1H|neurite extension-related protein phosphatase related to PP2C
ZNF442	FLJ14356	zinc finger protein 442
KRTAP4-16P	KRTAP4P1|KAP4A	keratin associated protein 4-16, pseudogene
RNU7-161P		RNA, U7 small nuclear 161 pseudogene
VN1R70P		vomeronasal 1 receptor 70 pseudogene
C21orf37		chromosome 21 open reading frame 37
KIAA1468	HsT3308|FLJ33841|HsT885	KIAA1468
EGFR	ERBB|ERBB1	erythroblastic leukemia viral (v-erb-b) oncogene homolog (avian)|epidermal growth factor receptor
ANAPC5	APC5	anaphase promoting complex subunit 5
SCARNA8	U92	small Cajal body-specific RNA 8
C18orf63	DKFZP781G0119	chromosome 18 open reading frame 63
FAM197Y9		family with sequence similarity 197, Y-linked, member 9
XRRA1	FLJ00225	X-ray radiation resistance associated 1
AIMP1P1	SCYE1P|bA400P21.1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 pseudogene 1
PIRC18		piwi-interacting RNA cluster 18
LINC00672		long intergenic non-protein coding RNA 672
RPL7P42		ribosomal protein L7 pseudogene 42
FSHB		follicle-stimulating hormone beta subunit|follicle stimulating hormone, beta polypeptide|follitropin, beta chain
SNX18P19		sorting nexin 18 pseudogene 19
RNU5A-6P		RNA, U5A small nuclear 6, pseudogene
RNF138P1		ring finger protein 138, E3 ubiquitin protein ligase pseudogene 1
MIR503	MIRN503|hsa-mir-503	microRNA 503
IGKC	HCAK1	immunoglobulin kappa constant
RAD54L2	SRISNF2L|KIAA0809	RAD54-like 2 (S. cerevisiae)
FBN3		fibrillin 3
FAM200A	DKFZp727G131|C7orf38|FLJ36794	family with sequence similarity 200, member A
CASP10	MCH4	caspase 10, apoptosis-related cysteine peptidase
RNA5SP371	RN5S371	RNA, 5S ribosomal pseudogene 371
SFT2D2	dJ747L4.C1.2|UNQ512	SFT2 domain containing 2
PABPN1L	ePABP2	poly(A) binding protein, nuclear 1-like (cytoplasmic)|embryonic poly(A) binding protein 2
ZNF714		zinc finger protein 714
PELO		pelota homolog (Drosophila)
DDX39AP1		DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A pseudogene 1
SMNDC1	TDRD16C|SPF30|SMNR	splicing factor 30, survival of motor neuron-related|tudor domain containing 16C|survival motor neuron domain containing 1
PTPN20B	bA42B19.1|DKFZP566K0524	protein tyrosine phosphatase, non-receptor type 20B
PDZK1P1	OTTHUMT00000038524	PDZ domain containing 1 pseudogene 1
IGHV3-54		immunoglobulin heavy variable 3-54 (pseudogene)
VSTM1	UNQ3033	V-set and transmembrane domain containing 1
TRGJP2	JP2|TCRGJP2	T-cell receptor, gamma, joining segment JP2|T cell receptor gamma joining P2
YBX2	MSY2|CSDA3	Y box binding protein 2
C14orf79		chromosome 14 open reading frame 79
BZW1P1		basic leucine zipper and W2 domains 1 pseudogene 1
FAM177A1P1	FAM177A2	family with sequence similarity 177, member A1 pseudogene 1
MSTP6		macrophage stimulating, pseudogene 6
INO80B	PAP-1BP|IES2|HMGA1L4|PAPA-1|ZNHIT4|HMGIYL4|hIes2	INO80 complex subunit B|PAP-1 binding protein|IES2 homolog (S. cerevisiae)
BPIFB5P		BPI fold containing family B, member 5, pseudogene
ZNF644	BM-005|KIAA1221|MGC60165|MGC70410	zinc finger protein 644
REEP2	C5orf19|SPG72|SGC32445	receptor accessory protein 2
FAM210CP		family with sequence similarity 210, member C, pseudogene
RPS8P1		ribosomal protein S8 pseudogene 1
CKS1BP3		CDC28 protein kinase regulatory subunit 1B pseudogene 3
DFNY1		deafness, Y-linked 1
RPL23AP39		ribosomal protein L23a pseudogene 39
MIR548AY	hsa-mir-548ay	microRNA 548ay
ZNF680	FLJ90430	zinc finger protein 680|hypothetical protein FLJ90430
TRIM51BP	SPRYD5P|SPRYD5P1	tripartite motif-containing 51B, pseudogene
RPL37P15		ribosomal protein L37 pseudogene 15
PLXDC1	TEM3|TEM7	plexin domain containing 1|tumor endothelial marker 7 precursor
SSU72P3		SSU72 pseudogene 3
IGKV1OR-3	IGKV1/OR-3|IGKVPZ3	immunoglobulin kappa variable 1/OR-3 (pseudogene)
GATA4		GATA binding protein 4
AK1		adenylate kinase 1
MUM1	MUM-1	melanoma associated antigen (mutated) 1
UBE2E3	UbcH9	ubiquitin-conjugating enzyme E2E 3
COX6CP13		cytochrome c oxidase subunit VIc pseudogene 13
P2RY8	P2Y8	purinergic receptor P2Y, G-protein coupled, 8
KARSP1		lysyl-tRNA synthetase pseudogene 1
VN1R112P		vomeronasal 1 receptor 112 pseudogene
RPL13P2	RPL13P3|dJ599F21.2	ribosomal protein L13 pseudogene 2
RNU6-1042P		RNA, U6 small nuclear 1042, pseudogene
EIF3LP2	EIF3EIPP2|EIF3S6IPP2	eukaryotic translation initiation factor 3, subunit L pseudogene 2
VN1R9P	VN1R22-1P	vomeronasal 1 receptor 9 pseudogene
EEF1A1P14	EEF1AL12	eukaryotic translation elongation factor 1 alpha 1 (EEF1A1) pseudogene|eukaryotic translation elongation factor 1 alpha 1 pseudogene 14
F11	FXI	plasma thromboplastin antecedent|coagulation factor XI
WDR38		WD repeat domain 38
KMT2E	MLL5|HDCMC04P	lysine (K)-specific methyltransferase 2E|myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)
FCRL5	FCRH5|IRTA2|BXMAS1|CD307e	Fc receptor-like 5
LCN1P1	LCN1L1|bA430N14.2	lipocalin 1 pseudogene 1
MIP	AQP0|MP26|LIM1	aquaporin 0|major intrinsic protein of lens fiber
ERVK-6	HERV-K108|HERV-K(C7)|ERVK6|HERV-K(HML-2.HOM)	HERV-K_7p22.1 provirus Rec protein|HERV-K_7p22.1 provirus ancestral Env polyprotein|HERV-K_7p22.1 provirus ancestral Pol protein|HERV-K(C7) envelope protein|endogenous retrovirus group K, member 6|HERV-K_7p22.1 provirus ancestral Pro protein|HERV-K108 envelope protein|HERV-K (HML-2.HOM)
MTND1P14		MT-ND1 pseudogene 14
NKPD1	FLJ33600	NTPase, KAP family P-loop domain containing 1
RN7SL534P		RNA, 7SL, cytoplasmic 534, pseudogene
IVD	ACAD2	isovaleryl-CoA dehydrogenase
MEX3C	RNF194|RKHD2|FLJ38871	mex-3 RNA binding family member C|mex-3 homolog C (C. elegans)
RN7SL723P		RNA, 7SL, cytoplasmic 723, pseudogene
ZYX		zyxin
RN7SKP279		RNA, 7SK small nuclear pseudogene 279
TRX-CAT1-7	TRNAM15	transfer RNA methionine 15 (anticodon CAU)
MRGBP	C20orf20|MRG15BP|Eaf7|FLJ10914	MRG/MORF4L binding protein
RNU6-391P		RNA, U6 small nuclear 391, pseudogene
FCN1	FCNM	ficolin (collagen/fibrinogen domain containing) 1
GREM1	CKTSF1B1|gremlin|DAND2|CRAC1|HMPS|DRM	colorectal adenoma and carcinoma 1|gremlin 1, DAN family BMP antagonist
RNU6-453P		RNA, U6 small nuclear 453, pseudogene
RPS2P8		ribosomal protein S2 pseudogene 8
RPL21P71		ribosomal protein L21 pseudogene 71
DTL	L2DTL|RAMP|DCAF2	DDB1 and CUL4 associated factor 2|RA regulated nuclear matrix associated protein|denticleless E3 ubiquitin protein ligase homolog (Drosophila)
AOC1	ABP1|DAO	amiloride binding protein 1 (amine oxidase (copper-containing))|amine oxidase, copper containing 1
SLC25A6P6		solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6 pseudogene 6
