OMIM:264800	PSEUDOXANTHOMA ELASTICUM|^|PXE	GRONBLAD STRANDBERG SYNDROME
OMIM:231070	GERODERMA OSTEODYSPLASTICUM|^|GO	GERODERMIA OSTEODYSPLASTICA|^|WALT DISNEY DWARFISM
OMIM:107970	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA FAMILIAL 1|^|ARVD1	
OMIM:601992	FRIEDREICH ATAXIA 2|^|FRDA2	
OMIM:271250	SPINOCEREBELLAR ATAXIA AUTOSOMAL RECESSIVE 3|^|SCAR3	SPINOCEREBELLAR ATAXIA WITH BLINDNESS AND DEAFNESS|^|SCABD
OMIM:278750	XERODERMA PIGMENTOSUM VARIANT TYPE|^|XPV	XERODERMA PIGMENTOSUM WITH NORMAL DNA REPAIR RATES|^|PHOTOSENSITIVITY WITH DEFECTIVE DNA SYNTHESIS
OMIM:121700	CORNEAL ENDOTHELIAL DYSTROPHY 1 AUTOSOMAL DOMINANT|^|CHED1	
OMIM:236700	MCKUSICK KAUFMAN SYNDROME|^|MKKS	HYDROMETROCOLPOS SYNDROME|^|HYDROMETROCOLPOS POSTAXIAL POLYDACTYLY AND CONGENITAL HEART MALFORMATION|^|HMCS
OMIM:107200	ANOSMIA ISOLATED CONGENITAL|^|ANIC	ANOSMIA CONGENITAL
OMIM:173650	KINDLER SYNDROME	POIKILODERMA HEREDITARY ACROKERATOTIC|^|BULLOUS ACROKERATOTIC POIKILODERMA OF KINDLER AND WEARY|^|POIKILODERMA CONGENITAL WITH BULLAE WEARY TYPE
OMIM:104570	AMELOONYCHOHYPOHIDROTIC SYNDROME	
OMIM:277170	OROFACIODIGITAL SYNDROME VI|^|OFD6	ORAL FACIAL DIGITAL SYNDROME TYPE VI|^|OFDS VI|^|VARADI PAPP SYNDROME|^|VARADI SYNDROME|^|POLYDACTYLY CLEFT LIP PALATE OR LINGUAL LUMP AND PSYCHOMOTOR RETARDATION
OMIM:616511	MATURITY ONSET DIABETES OF THE YOUNG TYPE 14|^|MODY14	
OMIM:616515	DEAFNESS AUTOSOMAL RECESSIVE 104|^|DFNB104	
OMIM:616516	EMERY DREIFUSS MUSCULAR DYSTROPHY 3 AUTOSOMAL RECESSIVE|^|EDMD3	
OMIM:616517	ACHROMATOPSIA 7|^|ACHM7	
OMIM:245150	KEUTEL SYNDROME|^|KTLS	PULMONIC STENOSIS BRACHYTELEPHALANGISM AND CALCIFICATION OF CARTILAGES
OMIM:113620	BRANCHIOOCULOFACIAL SYNDROME|^|BOFS	BOF SYNDROME|^|BRANCHIAL CLEFTS WITH CHARACTERISTIC FACIES GROWTH RETARDATION IMPERFORATE NASOLACRIMAL DUCT AND PREMATURE AGING|^|HEMANGIOMATOUS BRANCHIAL CLEFTS LIP PSEUDOCLEFT SYNDROME|^|LIP PSEUDOCLEFT HEMANGIOMATOUS BRANCHIAL CYST SYNDROME
OMIM:102800	ADENOSINE TRIPHOSPHATASE DEFICIENCY ANEMIA DUE TO	
OMIM:607279	SYSTEMIC LUPUS ERYTHEMATOSUS WITH HEMOLYTIC ANEMIA SUSCEPTIBILITY TO 1|^|SLEH1	SYSTEMIC LUPUS ERYTHEMATOSUS HEMOLYTIC ANEMIA RELATED
OMIM:607277	ASTHMA RELATED TRAITS SUSCEPTIBILITY TO 1	ASRT1|^|AS1
OMIM:607276	RESTING HEART RATE VARIATION IN	RHR
OMIM:218000	AGENESIS OF THE CORPUS CALLOSUM WITH PERIPHERAL NEUROPATHY|^|ACCPN	CHARLEVOIX DISEASE|^|ANDERMANN SYNDROME|^|POLYNEUROPATHY SENSORIMOTOR WITH OR WITHOUT AGENESIS OF THE CORPUS CALLOSUM|^|CORPUS CALLOSUM AGENESIS OF WITH NEURONOPATHY
OMIM:603221	MYOPIA 3 AUTOSOMAL DOMINANT|^|MYP3	
OMIM:607271	CASPASE 8 DEFICIENCY	CEDS|^|AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME TYPE IIB|^|ALPS2B
OMIM:244400	CILIARY DYSKINESIA PRIMARY 1|^|CILD1	
OMIM:181460	SCHISTOSOMA MANSONI INFECTION SUSCEPTIBILITY RESISTANCE TO	SCHISTOSOMA MANSONI INTENSITY OF INFECTION BY|^|SM1
OMIM:115660	CATARACT 7|^|CTRCT7	
OMIM:104310	ALZHEIMER DISEASE 2	AD2|^|ALZHEIMER DISEASE 2 LATE ONSET|^|ALZHEIMER DISEASE ASSOCIATED WITH APOE4
OMIM:115665	CATARACT 8 MULTIPLE TYPES|^|CTRCT8	
OMIM:300558	MENTAL RETARDATION X LINKED 30|^|MRX30	
OMIM:300559	GLYCOGEN STORAGE DISEASE TYPE IXd|^|GSD9D	GSD IXd|^|MUSCLE PHOSPHORYLASE KINASE DEFICIENCY|^|MUSCLE GLYCOGENOSIS X LINKED
OMIM:222300	WOLFRAM SYNDROME 1|^|WFS1	WFS|^|DIABETES INSIPIDUS AND MELLITUS WITH OPTIC ATROPHY AND DEAFNESS|^|DIDMOAD
OMIM:184700	POLYCYSTIC OVARY SYNDROME 1|^|PCOS1	PCO1|^|PCO|^|PCOS|^|STEIN LEVENTHAL SYNDROME|^|HYPERANDROGENEMIA
OMIM:300551	MENTAL RETARDATION X LINKED 78|^|MRX78	
OMIM:300554	HYPOPHOSPHATEMIC RICKETS X LINKED RECESSIVE	
OMIM:300555	DENT DISEASE 2	
OMIM:300557	PARKINSON DISEASE 12|^|PARK12	
OMIM:603596	POLYDACTYLY	
OMIM:266350	RED SKIN PIGMENT ANOMALY OF NEW GUINEA	
OMIM:607091	CONGENITAL DISORDER OF GLYCOSYLATION TYPE IId|^|CDG2D	
OMIM:607095	ANAUXETIC DYSPLASIA	SPONDYLOMETAEPIPHYSEAL DYSPLASIA ANAUXETIC TYPE|^|SPONDYLOMETAEPIPHYSEAL DYSPLASIA MENGER TYPE
OMIM:213600	BASAL GANGLIA CALCIFICATION IDIOPATHIC 1|^|IBGC1	
OMIM:123700	CUTIS LAXA AUTOSOMAL DOMINANT 1|^|ADCL1	
OMIM:158901	FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 2|^|FSHD2	FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 2 DIGENIC|^|FSHD2 DIGENIC|^|MUSCULAR DYSTROPHY FACIOSCAPULOHUMERAL TYPE 2|^|MUSCULAR DYSTROPHY FACIOSCAPULOHUMERAL TYPE 1B|^|FSHD1B
OMIM:210000	BEHR SYNDROME	OPTIC ATROPHY INFANTILE HEREDITARY WITH NEUROLOGIC ABNORMALITIES
OMIM:606324	PARKINSON DISEASE 7 AUTOSOMAL RECESSIVE EARLY ONSET|^|PARK7	
OMIM:606325	HETEROTAXY VISCERAL 3 AUTOSOMAL|^|HTX3	
OMIM:613313	HEMOCHROMATOSIS TYPE 2B|^|HFE2B	
OMIM:156500	METAPHYSEAL CHONDRODYSPLASIA SCHMID TYPE|^|MCDS	SPONDYLOMETAPHYSEAL DYSPLASIA JAPANESE TYPE
OMIM:613312	HYPOPHOSPHATEMIC RICKETS AUTOSOMAL RECESSIVE 2|^|ARHR2	
OMIM:611890	LETHAL ARTHROGRYPOSIS WITH ANTERIOR HORN CELL DISEASE|^|LAAHD	
OMIM:611891	AORTIC ANEURYSM FAMILIAL ABDOMINAL 3|^|AAA3	
OMIM:611892	ANEURYSM INTRACRANIAL BERRY 6|^|ANIB6	
OMIM:613032	GLIOMA SUSCEPTIBILITY 7|^|GLM7	
OMIM:611897	NANOPHTHALMOS 3|^|NNO3	
OMIM:614501	PSYCHOMOTOR RETARDATION EPILEPSY AND CRANIOFACIAL DYSMORPHISM|^|PMRED	
OMIM:614052	MITOCHONDRIAL COMPLEX V ATP SYNTHASE DEFICIENCY NUCLEAR TYPE 2|^|MC5DN2	MITOCHONDRIAL COMPLEX V ATP SYNTHASE DEFICIENCY TMEM70 TYPE|^|ENCEPHALOCARDIOMYOPATHY MITOCHONDRIAL NEONATAL DUE TO ATP SYNTHASE DEFICIENCY
OMIM:607893	OVARIAN CANCER SUSCEPTIBILITY TO 1|^|OVCAS1	
OMIM:613035	HEARING LOSS NOISE INDUCED SUSCEPTIBILITY TO|^|NIHL	
OMIM:613740	CARDIOMYOPATHY DILATED 1T|^|CMD1T	
OMIM:163100	NEVUS FLAMMEUS OF NAPE OF NECK	UNNA NEVUS|^|ERYTHEMA NUCHAE
OMIM:611090	MENTAL RETARDATION AUTOSOMAL RECESSIVE 12|^|MRT12	
OMIM:611091	MENTAL RETARDATION AUTOSOMAL RECESSIVE 5|^|MRT5	
OMIM:611092	MENTAL RETARDATION AUTOSOMAL RECESSIVE 6|^|MRT6	
OMIM:611093	MENTAL RETARDATION AUTOSOMAL RECESSIVE 7|^|MRT7	
OMIM:611094	MENTAL RETARDATION AUTOSOMAL RECESSIVE 8|^|MRT8	
OMIM:611095	MENTAL RETARDATION AUTOSOMAL RECESSIVE 9|^|MRT9	
OMIM:611096	MENTAL RETARDATION AUTOSOMAL RECESSIVE 10|^|MRT10	
OMIM:611097	MENTAL RETARDATION AUTOSOMAL RECESSIVE 11|^|MRT11	
OMIM:300147	PROSTATE CANCER HEREDITARY X LINKED 1|^|HPCX1	PROSTATE CANCER SUSCEPTIBILITY X LINKED|^|PCSX
OMIM:609148	MALARIA MILD SUSCEPTIBILITY TO	MALS
OMIM:300143	MENTAL RETARDATION X LINKED 21|^|MRX21	
OMIM:614113	MENTAL RETARDATION AUTOSOMAL DOMINANT 2|^|MRD2	
OMIM:614111	PYRUVATE DEHYDROGENASE E1 BETA DEFICIENCY|^|PDHBD	
OMIM:614116	NEUROPATHY HEREDITARY SENSORY TYPE IE|^|HSN1E	
OMIM:614114	MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 2|^|MVA2	
OMIM:614115	CORTICAL MALFORMATIONS OCCIPITAL|^|OCCM	
OMIM:608816	MYOCLONIC EPILEPSY JUVENILE SUSCEPTIBILITY TO 3|^|EJM3	
OMIM:249400	MELANOSIS NEUROCUTANEOUS|^|NCMS	NEUROMELANOSIS
OMIM:608812	COLORECTAL CANCER SUSCEPTIBILITY TO 1|^|CRCS1	COLORECTAL CANCER SUSCEPTIBILITY TO ON CHROMOSOME 9|^|COLORECTAL ADENOMA AND CANCER SUSCEPTIBILITY TO
OMIM:608810	MYOPATHY MYOFIBRILLAR 2|^|MFM2	
OMIM:615538	CHROMOSOME 22q13 DUPLICATION SYNDROME	
OMIM:211600	CHOLESTASIS PROGRESSIVE FAMILIAL INTRAHEPATIC 1|^|PFIC1	BYLER DISEASE
OMIM:211350	KYPHOMELIC DYSPLASIA	BOWING CONGENITAL WITH SHORT BONES
OMIM:615905	EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE 25|^|EIEE25	
OMIM:216950	COMPLEMENT COMPONENT C1r C1s DEFICIENCY	C1r C1s DEFICIENCY
OMIM:120080	COLCHICINE RESISTANCE	COLCHICINE SENSITIVITY|^|CLCS
OMIM:131300	CAMURATI ENGELMANN DISEASE|^|CAEND	CED|^|ENGELMANN DISEASE|^|DIAPHYSEAL DYSPLASIA 1 PROGRESSIVE|^|DPD1|^|PROGRESSIVE DIAPHYSEAL DYSPLASIA|^|PDD
OMIM:158330	MULLERIAN APLASIA AND HYPERANDROGENISM	MULLERIAN DUCT FAILURE AND HYPERANDROGENISM
OMIM:224300	DYSOSTEOSCLEROSIS	
OMIM:130650	BECKWITH WIEDEMANN SYNDROME|^|BWS	EXOMPHALOS MACROGLOSSIA GIGANTISM SYNDROME|^|EMG SYNDROME|^|WBS
OMIM:615578	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 18|^|COXPD18	
OMIM:615577	IMMUNODEFICIENCY COMMON VARIABLE 10|^|CVID10	
OMIM:615575	NEURONOPATHY DISTAL HEREDITARY MOTOR TYPE IID|^|HMN2D	HMN IID|^|NEUROPATHY DISTAL HEREDITARY MOTOR TYPE IID|^|DHMN2D|^|SPINAL MUSCULAR ATROPHY DISTAL AUTOSOMAL DOMINANT CALF PREDOMINANT
OMIM:615574	ASPARAGINE SYNTHETASE DEFICIENCY|^|ASNSD	ASNS DEFICIENCY
OMIM:615573	NEPHROTIC SYNDROME TYPE 9|^|NPHS9	
OMIM:254500	MYELOMA MULTIPLE	
OMIM:616079	RETINAL DYSTROPHY WITH INNER RETINAL DYSFUNCTION AND GANGLION CELL ABNORMALITIES|^|RDGCA	
OMIM:181800	SCOLIOSIS ISOLATED SUSCEPTIBILITY TO 1|^|IS1	ADOLESCENT ISOLATED SCOLIOSIS|^|AIS|^|ADOLESCENT IDIOPATHIC SCOLIOSIS
OMIM:613930	ALOPECIA MENTAL RETARDATION SYNDROME 3|^|APMR3	
OMIM:613933	ACETYL CoA CARBOXYLASE DEFICIENCY|^|ACACAD	ACACA DEFICIENCY|^|ACC1 DEFICIENCY
OMIM:608367	MYOPIA 17 AUTOSOMAL DOMINANT|^|MYP17	
OMIM:608361	SPONDYLOEPIPHYSEAL DYSPLASIA KIMBERLEY TYPE|^|SEDK	
OMIM:608363	CHROMOSOME 22q11 2 DUPLICATION SYNDROME	CHROMOSOME 22q11 2 MICRODUPLICATION SYNDROME
OMIM:613938	PARASOMNIA SLEEPWALKING TYPE|^|PSMNSW	
OMIM:193235	VITREORETINOPATHY NEOVASCULAR INFLAMMATORY|^|VRNI	PROLIFERATIVE VITREORETINOPATHY|^|PVR|^|VITREORETINOPATHY NEOVASCULAR INFLAMMATORY AUTOSOMAL DOMINANT|^|ADNIV
OMIM:193230	VITREORETINAL DEGENERATION SNOWFLAKE TYPE|^|SVD	SNOWFLAKE VITREORETINAL DEGENERATION
OMIM:616217	NEPHRONOPHTHISIS 19|^|NPHP19	
OMIM:612223	STATURE QUANTITATIVE TRAIT LOCUS 11|^|STQTL11	
OMIM:612221	STATURE QUANTITATIVE TRAIT LOCUS 10|^|STQTL10	
OMIM:612226	STATURE QUANTITATIVE TRAIT LOCUS 13|^|STQTL13	
OMIM:612227	DIABETES MELLITUS KETOSIS PRONE|^|KPD	
OMIM:612224	STATURE QUANTITATIVE TRAIT LOCUS 12|^|STQTL12	
OMIM:179010	PYLORIC STENOSIS INFANTILE HYPERTROPHIC 1|^|IHPS1	
OMIM:272200	MULTIPLE SULFATASE DEFICIENCY|^|MSD	MUCOSULFATIDOSIS|^|SULFATIDOSIS JUVENILE AUSTIN TYPE
OMIM:612229	COLORECTAL CANCER SUSCEPTIBILITY TO 3|^|CRCS3	COLORECTAL CANCER SUSCEPTIBILITY TO ON CHROMOSOME 18
OMIM:616219	FIBROSIS OF EXTRAOCULAR MUSCLES CONGENITAL 5|^|CFEOM5	
OMIM:146590	ICHTHYOSIS HYSTRIX CURTH MACKLIN TYPE|^|IHCM	
OMIM:615278	CARDIOFACIOCUTANEOUS SYNDROME 2|^|CFC2	
OMIM:560000	RENAL TUBULOPATHY DIABETES MELLITUS AND CEREBELLAR ATAXIA	
OMIM:615279	CARDIOFACIOCUTANEOUS SYNDROME 3|^|CFC3	
OMIM:135550	FIBROMATOSIS GINGIVAL WITH PROGRESSIVE DEAFNESS	GINGIVAL FIBROMATOSIS WITH SENSORINEURAL HEARING LOSS|^|GFD|^|JONES SYNDROME
OMIM:186580	BLAU SYNDROME|^|BLAUS	GRANULOMATOSIS FAMILIAL JUVENILE SYSTEMIC|^|ARTHROCUTANEOUVEAL GRANULOMATOSIS|^|ACUG|^|JABS SYNDROME|^|GRANULOMATOUS INFLAMMATORY ARTHRITIS DERMATITIS AND UVEITIS FAMILIAL|^|GRANULOMATOSIS FAMILIAL BLAU TYPE
OMIM:124700	DEAFNESS MID TONE NEURAL	
OMIM:182290	SMITH MAGENIS SYNDROME|^|SMS	CHROMOSOME 17p11 2 DELETION SYNDROME
OMIM:604201	HEPATIC FIBROSIS SEVERE SUSCEPTIBILITY TO DUE TO SCHISTOSOMA MANSONI INFECTION	SM2
OMIM:167900	PAPILLOMATOSIS CONFLUENT AND RETICULATED|^|CARP	PAPILLOMATOSIS RETICULATED AND CONFLUENT OF GOUGEROT AND CARTEAUD|^|PAPILLOMATOSIS FAMILIAL CUTANEOUS
OMIM:206200	IRON REFRACTORY IRON DEFICIENCY ANEMIA|^|IRIDA	ANEMIA HYPOCHROMIC MICROCYTIC WITH DEFECT IN IRON METABOLISM|^|IRON HANDLING DISORDER HEREDITARY|^|PSEUDO IRON DEFICIENCY ANEMIA
OMIM:613243	CARDIOMYOPATHY FAMILIAL HYPERTROPHIC 13|^|CMH13	
OMIM:300704	PROSTATE CANCER HEREDITARY X LINKED 2|^|HPCX2	
OMIM:300707	TOE SYNDACTYLY TELECANTHUS AND ANOGENITAL AND RENAL MALFORMATIONS|^|STAR	STAR SYNDROME|^|SYNDACTYLY WITH RENAL AND ANOGENITAL MALFORMATIONS
OMIM:181750	SCLERODERMA FAMILIAL PROGRESSIVE	SYSTEMIC SCLEROSIS SUSCEPTIBILITY TO
OMIM:300700	ALBINISM DEAFNESS SYNDROME|^|ADFN	ALDS
OMIM:300703	SPINOCEREBELLAR ATAXIA X LINKED 5|^|SCAX5	
OMIM:613244	COLORECTAL CANCER HEREDITARY NONPOLYPOSIS TYPE 8|^|HNPCC8	
OMIM:603965	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 2|^|FSGS2	
OMIM:603964	DEAFNESS AUTOSOMAL DOMINANT 16|^|DFNA16	
OMIM:300709	MENTAL RETARDATION X LINKED SYNDROMIC 9|^|MRXS9	
OMIM:259775	RAINE SYNDROME|^|RNS	OSTEOSCLEROTIC BONE DYSPLASIA LETHAL
OMIM:253700	MUSCULAR DYSTROPHY LIMB GIRDLE TYPE 2C|^|LGMD2C	
OMIM:610915	OSTEOGENESIS IMPERFECTA TYPE VIII|^|OI8	
OMIM:259770	OSTEOPOROSIS PSEUDOGLIOMA SYNDROME|^|OPPG	OPS|^|OSTEOGENESIS IMPERFECTA OCULAR FORM
OMIM:610910	PULMONARY ALVEOLAR PROTEINOSIS ACQUIRED	PAP ACQUIRED|^|PULMONARY ALVEOLAR LIPOPROTEINOSIS ACQUIRED|^|PULMONARY ALVEOLAR PROTEINOSIS AUTOIMMUNE
OMIM:613067	LEUKEMIA ACUTE LYMPHOBLASTIC SUSCEPTIBILITY TO 2|^|ALL2	LEUKEMIA ACUTE LYMPHOCYTIC SUSCEPTIBILITY TO 2
OMIM:613794	RETINITIS PIGMENTOSA 20|^|RP20	
OMIM:613065	LEUKEMIA ACUTE LYMPHOBLASTIC|^|ALL	
OMIM:613064	DERMATITIS ATOPIC 7|^|ATOD7	
OMIM:613063	BASAL CELL CARCINOMA SUSCEPTIBILITY TO 6|^|BCC6	
OMIM:613062	BASAL CELL CARCINOMA SUSCEPTIBILITY TO 5|^|BCC5	
OMIM:613061	BASAL CELL CARCINOMA SUSCEPTIBILITY TO 4|^|BCC4	
OMIM:613060	EPILEPSY IDIOPATHIC GENERALIZED SUSCEPTIBILITY TO 10|^|EIG10	
OMIM:111400	BLOOD GROUP P1PK SYSTEM	
OMIM:613068	NEURODEGENERATION DUE TO CEREBRAL FOLATE TRANSPORT DEFICIENCY	
OMIM:614974	FOCAL FACIAL DERMAL DYSPLASIA 4|^|FFDD4	
OMIM:600920	VAN DEN ENDE GUPTA SYNDROME|^|VDEGS	MARDEN WALKER LIKE SYNDROME WITHOUT PSYCHOMOTOR RETARDATION|^|BLEPHAROPHIMOSIS ARACHNODACTYLY AND CONGENITAL CONTRACTURES
OMIM:212070	CARBOXYPEPTIDASE N DEFICIENCY	
OMIM:215700	CITRULLINEMIA CLASSIC	CITRULLINEMIA TYPE I|^|CTLN1|^|CITRULLINURIA|^|ARGININOSUCCINATE SYNTHETASE DEFICIENCY|^|ASS DEFICIENCY
OMIM:201000	CARPENTER SYNDROME 1|^|CRPT1	
OMIM:249650	MERCAPTOLACTATE CYSTEINE DISULFIDURIA|^|MCDU	DISULFIDURIA MIXED
OMIM:232800	GLYCOGEN STORAGE DISEASE VII|^|GSD7	GSD VII|^|MUSCLE PHOSPHOFRUCTOKINASE DEFICIENCY|^|PFKM DEFICIENCY|^|TARUI DISEASE
OMIM:608911	CHOANAL ATRESIA POSTERIOR|^|PCA	
OMIM:308940	LEIOMYOMATOSIS DIFFUSE WITH ALPORT SYNDROME|^|DL ATS	LEIOMYOMATOSIS ESOPHAGEAL AND VULVAL WITH NEPHROPATHY|^|ALPORT SYNDROME AND DIFFUSE LEIOMYOMATOSIS|^|CHROMOSOME Xq22 3 CENTROMERIC DELETION SYNDROME
OMIM:603783	INTELLIGENCE QUANTITATIVE TRAIT LOCUS 1	INTLQ1|^|COGNITIVE ABILITY GENERAL
OMIM:603786	STARGARDT DISEASE 4|^|STGD4	
OMIM:261600	PHENYLKETONURIA|^|PKU	PHENYLALANINE HYDROXYLASE DEFICIENCY|^|PAH DEFICIENCY|^|OLIGOPHRENIA PHENYLPYRUVICA|^|FOLLING DISEASE
OMIM:608447	CAROTID INTIMAL MEDIAL THICKNESS 2	CIMT2|^|CAROTID INTIMAL MEDIAL THICKNESS QUANTITATIVE TRAIT LOCUS ON CHROMOSOME 12
OMIM:166750	OTODENTAL DYSPLASIA	CHROMOSOME 11q13 DELETION SYNDROME|^|OTODENTAL SYNDROME
OMIM:610265	DEAFNESS AUTOSOMAL RECESSIVE 67|^|DFNB67	
OMIM:176100	PORPHYRIA CUTANEA TARDA	PCT|^|PORPHYRIA CUTANEA TARDA TYPE II|^|PCT TYPE II|^|PCT FAMILIAL TYPE|^|PORPHYRIA HEPATOCUTANEOUS TYPE|^|UROPORPHYRINOGEN DECARBOXYLASE DEFICIENCY|^|UROD DEFICIENCY
OMIM:610261	HYPERTENSION ESSENTIAL SUSCEPTIBILITY TO 5	HYT5|^|HYPERTENSION ESSENTIAL BODY MASS RELATED
OMIM:610262	HYPERTENSION ESSENTIAL SUSCEPTIBILITY TO 6	HYT6|^|HYPERTENSION ESSENTIAL KIDNEY FUNCTION RELATED
OMIM:610269	BULIMIA NERVOSA SUSCEPTIBILITY TO 2|^|BULN2	
OMIM:614563	MENTAL RETARDATION AUTOSOMAL DOMINANT 13|^|MRD13	
OMIM:614562	MENTAL RETARDATION AUTOSOMAL DOMINANT 12|^|MRD12	
OMIM:614561	LEUKOENCEPHALOPATHY BRAIN CALCIFICATIONS AND CYSTS|^|LCC	LABRUNE SYNDROME
OMIM:614565	NIGHT BLINDNESS CONGENITAL STATIONARY TYPE 1E|^|CSNB1E	
OMIM:614564	CUTANEOUS TELANGIECTASIA AND CANCER SYNDROME FAMILIAL|^|FCTCS	
OMIM:614569	MULTIPLE ENCHONDROMATOSIS MAFFUCCI TYPE	MAFFUCCI SYNDROME
OMIM:602782	HISTIOCYTOSIS LYMPHADENOPATHY PLUS SYNDROME	HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS CARDIAC AND OR ENDOCRINE FEATURES JOINT CONTRACTURES AND OR DEAFNESS|^|HYPERPIGMENTATION CUTANEOUS WITH HYPERTRICHOSIS HEPATOSPLENOMEGALY HEART ANOMALIES AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS|^|H SYNDROME|^|PIGMENTED HYPERTRICHOSIS WITH INSULIN DEPENDENT DIABETES MELLITUS|^|PHID|^|HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS|^|HJCD|^|FAISALABAD HISTIOCYTOSIS|^|ROSAI DORFMAN DISEASE FAMILIAL|^|SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY|^|SHML
OMIM:118400	CHERUBISM	CRBM
OMIM:605833	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 2|^|BMND2	
OMIM:605526	ALZHEIMER DISEASE 6	AD6|^|ALZHEIMER DISEASE 6 LATE ONSET
OMIM:609800	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS TYPE 4|^|GEFSP4	
OMIM:614307	ALPHA METHYLACYL CoA RACEMASE DEFICIENCY|^|AMACRD	AMACR DEFICIENCY
OMIM:614306	COGNITIVE IMPAIRMENT WITH OR WITHOUT CEREBELLAR ATAXIA|^|CIAT	
OMIM:608173	AUTOIMMUNE THYROID DISEASE SUSCEPTIBILITY TO 1	AITD1
OMIM:608175	AUTOIMMUNE THYROID DISEASE SUSCEPTIBILITY TO 3|^|AITD3	
OMIM:608174	AUTOIMMUNE THYROID DISEASE SUSCEPTIBILITY TO 2	AITD2
OMIM:608176	AUTOIMMUNE THYROID DISEASE SUSCEPTIBILITY TO 4	AITD4
OMIM:602433	AMYOTROPHIC LATERAL SCLEROSIS 4 JUVENILE|^|ALS4	
OMIM:210745	BLEPHAROPHIMOSIS WITH PTOSIS SYNDACTYLY AND SHORT STATURE	
OMIM:260000	HYPEROXALURIA PRIMARY TYPE II|^|HP2	
OMIM:260005	5 OXOPROLINASE DEFICIENCY|^|OPLAHD	OXOPROLINURIA DUE TO 5 OXOPROLINASE DEFICIENCY
OMIM:615630	SHORT RIB THORACIC DYSPLASIA 10 WITH OR WITHOUT POLYDACTYLY|^|SRTD10	
OMIM:193007	VERTIGO BENIGN RECURRENT|^|BRV	VERTIGO BENIGN PAROXYSMAL POSITIONAL|^|BPPV|^|VESTIBULOPATHY FAMILIAL
OMIM:193000	VESICOURETERAL REFLUX 1|^|VUR1	
OMIM:193003	NYSTAGMUS 4 CONGENITAL AUTOSOMAL DOMINANT|^|NYS4	
OMIM:611139	CORONARY HEART DISEASE SUSCEPTIBILITY TO 8|^|CHDS8	
OMIM:209850	AUTISM	
OMIM:611131	RETINITIS PIGMENTOSA 37|^|RP37	
OMIM:203400	CORTICOSTERONE METHYLOXIDASE TYPE I DEFICIENCY	CMO I DEFICIENCY|^|ALDOSTERONE DEFICIENCY I|^|HYPERRENINEMIC HYPOALDOSTERONISM FAMILIAL 1|^|FHHA1A|^|ALDOSTERONE DEFICIENCY DUE TO DEFECT IN STEROID 18 HYDROXYLASE|^|18 HYDROXYLASE DEFICIENCY|^|STEROID 18 HYDROXYLASE DEFICIENCY
OMIM:611136	EPILEPSY IDIOPATHIC GENERALIZED SUSCEPTIBILITY TO 13|^|EIG13	
OMIM:611134	MECKEL SYNDROME TYPE 4|^|MKS4	
OMIM:300082	COGNITIVE FUNCTION 1 SOCIAL|^|CGF1	SOCIAL COGNITION
OMIM:225790	PROLIFERATIVE VASCULOPATHY AND HYDRANENCEPHALY HYDROCEPHALY SYNDROME|^|PVHH	HYDRANENCEPHALY FOWLER TYPE|^|HYDROCEPHALY HYDRANENCEPHALY DUE TO CEREBRAL VASCULOPATHY|^|ENCEPHALOCLASTIC PROLIFERATIVE VASCULOPATHY|^|EPV
OMIM:139650	HAIRY PALMS AND SOLES	CIRCUMSCRIBED HAIRY DYSEMBRYOPLASIA OF PALMS
OMIM:300085	CONE ROD DYSTROPHY X LINKED 2|^|CORDX2	CONE DYSTROPHY 2 X LINKED|^|COD2
OMIM:136300	FLYNN AIRD SYNDROME	
OMIM:111600	BLOOD GROUP LANGEREIS SYSTEM|^|LAN	
OMIM:227330	FACIODIGITOGENITAL SYNDROME AUTOSOMAL RECESSIVE	AARSKOG LIKE SYNDROME|^|KUWAIT TYPE FACIODIGITOGENITAL SYNDROME
OMIM:135300	FIBROMATOSIS GINGIVAL 1|^|GINGF1	
OMIM:615960	PORETTI BOLTSHAUSER SYNDROME|^|PTBHS	
OMIM:262500	LARON SYNDROME	GROWTH HORMONE INSENSITIVITY SYNDROME|^|PITUITARY DWARFISM II|^|GROWTH HORMONE RECEPTOR DEFICIENCY
